key,0,1
#,,
int32,str,str
0,"TEXT_JOBDRK300_02053_SEQ_00","성도의 시민은 이단자 검사에 대한 이야기를 들려주려는 듯하다."
1,"TEXT_JOBDRK300_02053_SEQ_01","성도의 시민에게 암흑기사로 짐작되는 검사에 대한 이야기를 들었다. 이슈가르드 '구름안개 거리'에서 검사의 시체를 옮기고 있는 '고지식한 신전기사'를 찾자."
2,"TEXT_JOBDRK300_02053_SEQ_02","고지식한 신전기사가 사라지자 아무렇지도 않게 일어난 이단자 검사는, 자신을 암흑기사 프레이라고 소개했다. 구름안개 거리에 있는 '프레이'와 대화하자."
3,"TEXT_JOBDRK300_02053_SEQ_03","구름안개 거리에 있는 프레이에게 암흑기사에 대한 설명을 들었다. 건네받은 <Sheet(Item,10400,0)/><13>FF0F02280BFF054974656DF228A00103FF04EBA5BCFF04EC9D84</13> 장비하고 '프레이'와 다시 대화하자."
4,"TEXT_JOBDRK300_02053_SEQ_04",""
5,"TEXT_JOBDRK300_02053_SEQ_05",""
6,"TEXT_JOBDRK300_02053_SEQ_06",""
7,"TEXT_JOBDRK300_02053_SEQ_07",""
8,"TEXT_JOBDRK300_02053_SEQ_08",""
9,"TEXT_JOBDRK300_02053_SEQ_09",""
10,"TEXT_JOBDRK300_02053_SEQ_10",""
11,"TEXT_JOBDRK300_02053_SEQ_11",""
12,"TEXT_JOBDRK300_02053_SEQ_12",""
13,"TEXT_JOBDRK300_02053_SEQ_13",""
14,"TEXT_JOBDRK300_02053_SEQ_14",""
15,"TEXT_JOBDRK300_02053_SEQ_15",""
16,"TEXT_JOBDRK300_02053_SEQ_16",""
17,"TEXT_JOBDRK300_02053_SEQ_17",""
18,"TEXT_JOBDRK300_02053_SEQ_18",""
19,"TEXT_JOBDRK300_02053_SEQ_19",""
20,"TEXT_JOBDRK300_02053_SEQ_20",""
21,"TEXT_JOBDRK300_02053_SEQ_21",""
22,"TEXT_JOBDRK300_02053_SEQ_22",""
23,"TEXT_JOBDRK300_02053_SEQ_23",""
24,"TEXT_JOBDRK300_02053_TODO_00","구름안개 거리에서 고지식한 신전기사 찾기"
25,"TEXT_JOBDRK300_02053_TODO_01","프레이와 대화"
26,"TEXT_JOBDRK300_02053_TODO_02",""
27,"TEXT_JOBDRK300_02053_TODO_03",""
