key,0,1
#,,
int32,str,str
0,"TEXT_BANVAN007_02170_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>특수 규칙:  레벨 보정<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
나키 섬의 리누바리는 모험가에게 마지막으로 부탁할 일이 있는 듯하다."
1,"TEXT_BANVAN007_02170_SEQ_01","※ 이 퀘스트에는 <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> 레벨 보정<UIGlow>01</UIGlow><UIForeground>01</UIForeground>이 적용됩니다.
   퀘스트 수락 시의 직업으로만 퀘스트를 진행할 수 있습니다.

지금까지의 이야기:
'오크 군두 나키'의 존재가 분두족에게 알려지고 말았다. 리누바리는 군두족과 준두족이 함께 '태양의 춤'을 추어 분두족을 쫓아내자고 제안했으나, 준두족은 두려움에 사로잡혀 춤을 출 수 없다고 한다. 이에 모험가는 바누바누족의 의식을 통해서 '태양의 춤'을 배워, 준두족 앞에서 직접 춤을 선보였다. 모험가의 춤을 본 준두족은 분두족과 맞설 용기를 얻었다.
                        *  *  *
드디어 분두족과 대결하는 날이 왔다. 리누바리가 조상님께 춤을 바쳐달라고 부탁했다. 나키 섬에 있는 <Sheet(EObj,2006623,0)/>에 감정 표현 '태양의 춤'을 사용하자."
2,"TEXT_BANVAN007_02170_SEQ_02","<Sheet(EObj,2006623,0)/> 앞에서 '태양의 춤'을 추었다. 리누바리에게 보고하자."
3,"TEXT_BANVAN007_02170_SEQ_03","리누바리에게 보고했다. 그들은 더 이상 모험가에게 신세를 지지 않겠다며, 결전의 장소에는 바누바누족끼리만 가겠다고 한다. 이때 리누바리가 소누바누에게 말을 걸어달라고 부탁했다. 아발라시아 구름바다 '오크 준두'에 있는 '소누바누'와 대화하자."
4,"TEXT_BANVAN007_02170_SEQ_04","소누바누와 대화했다. 그는 모험가에게 준두족과 군두족의 춤을 지켜봐 달라고 부탁했다. 오크 준두 북동쪽에 있는 <Sheet(EObj,2006637,0)/>에서 대기하자."
5,"TEXT_BANVAN007_02170_SEQ_05","군두족과 준두족은 '태양의 춤'을 함께 추어 분두족과 팽팽하게 맞섰으나, 도중에 춤이 흐트러지는 바람에 분두족에게 밀릴 위기에 처했다. 이때 모험가가 합세하여 '태양의 춤'을 추자, 두 씨족의 춤은 마침내 혼연일체가 되었다. 그 춤을 본 분두족은 줄행랑을 치고, 군두족과 준두족은 드디어 승리를 얻어냈다. 리누바리는 앞으로도 장로 리누바누와 함께 '유려한 군두'를 재건하는 데 헌신하기로 맹세했다."
6,"TEXT_BANVAN007_02170_SEQ_06",""
7,"TEXT_BANVAN007_02170_SEQ_07",""
