key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNB105_02160_SEQ_00","알피노는 무리에서 벗어난 그나스족이 사는 곳에 가보려는 듯하다."
1,"TEXT_HEAVNB105_02160_SEQ_01","알피노는 산크레드를 본 적이 있는지 묻기 위해 '무리에서 벗어난 그나스족'이 모여 사는 바스의 토굴집으로 향했다. 고지 드라바니아 '바스의 토굴집'에서 그나스족 수장 '이야기꾼'과 대화하자."
2,"TEXT_HEAVNB105_02160_SEQ_02","이야기꾼과 대화했다. 산크레드로 추정되는 남자는 야만신 '라바나'가 소환되었다는 말을 듣고 그나스의 토굴집으로 향했다고 한다. 고지 드라바니아 '그나스의 토굴집'으로 가면서 방해하는 적을 물리치자."
3,"TEXT_HEAVNB105_02160_SEQ_03","덤벼든 그나스족을 물리쳤다. 그나스의 토굴집에 있는 <Sheet(EObj,2006607,0)/>에서 대기하여 알피노 일행과 합류하자."
4,"TEXT_HEAVNB105_02160_SEQ_04","그나스의 토굴집에서 '라바나'를 쓰러뜨린 것은 '어둠의 전사'를 자처하는 자들이었다. 어둠의 전사가 모험가 일행을 공격한 순간, 산크레드가 달려와 사이를 가로막았다. 어둠의 전사들은 산크레드가 개입하자 흥이 식은 듯, 텔레포를 사용하여 사라졌다. 이리하여 모험가 일행은 다행히 별 탈 없이 그나스의 토굴집을 떠날 수 있었다. 고지 드라바니아 '연기 황야'에서 '산크레드'와 대화하자."
5,"TEXT_HEAVNB105_02160_SEQ_05","산크레드는 바스의 토굴집에 사는 그나스족을 만날 때까지 수많은 고난을 극복하며 살아남았다고 한다. 마침내 그토록 찾아다닌 산크레드는 찾아냈으나, '어둠의 전사'는 정체가 무엇인지 알 수 없었다. 그들도 '초월하는 힘'을 가지고 있는 것일까……?"
6,"TEXT_HEAVNB105_02160_SEQ_06",""
7,"TEXT_HEAVNB105_02160_SEQ_07",""
8,"TEXT_HEAVNB105_02160_SEQ_08",""
9,"TEXT_HEAVNB105_02160_SEQ_09",""
10,"TEXT_HEAVNB105_02160_SEQ_10",""
11,"TEXT_HEAVNB105_02160_SEQ_11",""
12,"TEXT_HEAVNB105_02160_SEQ_12",""
13,"TEXT_HEAVNB105_02160_SEQ_13",""
14,"TEXT_HEAVNB105_02160_SEQ_14",""
