key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNY002_02112_SEQ_00","오크 준두의 사누바누는 목장식용 재료를 구해다 줄 사람을 찾고 있는 듯하다."
1,"TEXT_HEAVNY002_02112_SEQ_01","사누바누가 <Sheet(EventItem,2001884,0)/><13>FF15022811FF0A4576656E744974656DF61E8BDC0103FF04EBA5BCFF04EC9D84</13> 구해달라고 부탁했다. 아발라시아 구름바다 '거두지 않는 섬' 부근에 있는 '토누바누'와 대화하자."
2,"TEXT_HEAVNY002_02112_SEQ_02","거두지 않는 섬에 들어갈 수 있게 되었다. '거두지 않는 섬'을 공략하자.

※ '임무 찾기'를 통해, 본 임무의 공략에 참가할 수 있습니다."
3,"TEXT_HEAVNY002_02112_SEQ_03","거두지 않는 섬에 가서 <Sheet(EventItem,2001884,0)/><13>FF15022811FF0A4576656E744974656DF61E8BDC0103FF04EBA5BCFF04EC9D84</13> 손에 넣었다. 오크 준두에 있는 '사누바누'에게 <Sheet(EventItem,2001884,0)/><13>FF15022811FF0A4576656E744974656DF61E8BDC0103FF04EBA5BCFF04EC9D84</13> 건네자."
4,"TEXT_HEAVNY002_02112_SEQ_04","사누바누에게 <Sheet(EventItem,2001884,0)/><13>FF15022811FF0A4576656E744974656DF61E8BDC0103FF04EBA5BCFF04EC9D84</13> 건넸다. 그는 모험가 덕분에 장로님의 위엄을 지킬 수 있겠다며 매우 기뻐했다."
5,"TEXT_HEAVNY002_02112_SEQ_05",""
6,"TEXT_HEAVNY002_02112_SEQ_06",""
7,"TEXT_HEAVNY002_02112_SEQ_07",""
8,"TEXT_HEAVNY002_02112_SEQ_08",""
9,"TEXT_HEAVNY002_02112_SEQ_09",""
10,"TEXT_HEAVNY002_02112_SEQ_10",""
11,"TEXT_HEAVNY002_02112_SEQ_11",""
12,"TEXT_HEAVNY002_02112_SEQ_12",""
13,"TEXT_HEAVNY002_02112_SEQ_13",""
14,"TEXT_HEAVNY002_02112_SEQ_14",""
15,"TEXT_HEAVNY002_02112_SEQ_15",""
16,"TEXT_HEAVNY002_02112_SEQ_16",""
17,"TEXT_HEAVNY002_02112_SEQ_17",""
18,"TEXT_HEAVNY002_02112_SEQ_18",""
19,"TEXT_HEAVNY002_02112_SEQ_19",""
20,"TEXT_HEAVNY002_02112_SEQ_20",""
