key,0,1
#,,
int32,str,str
0,"TEXT_BANGNA304_02264_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>특수 규칙:  레벨 보정(직업 변경 제한)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
바스의 토굴집에 있는 연구자는 모험가를 목이 빠지게 기다린 듯하다."
1,"TEXT_BANGNA304_02264_SEQ_01","※ 이 퀘스트에는
 '<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 레벨 보정(직업 변경 제한)'<13>FF40024804F201FC03024904F201FD03EE82BE0249020103024802010320EBA088EBB2A820EBB3B4ECA09528ECA781EC978520EBB380EAB2BD20ECA09CED959C29FF04EAB080FF04EC9DB4</13> 적용됩니다.
   퀘스트 수락 시점의 직업으로만 진행할 수 있습니다.

연구자가 꼬리깃 마을로 가는 길에 출몰하는 포악한 짐승을 처치해달라고 부탁했다. 초코보 숲에 있는 세 군데의 <Sheet(EObj,2006871,0)/>에서 주위를 둘러보고, 짐승이 나타나면 처치하자."
2,"TEXT_BANGNA304_02264_SEQ_02","세 군데에서 주위를 둘러보고, 나타난 짐승을 처치했다. 바스의 토굴집에 있는 '연구자'에게 보고하자."
3,"TEXT_BANGNA304_02264_SEQ_03","연구자에게 보고했다. 길드의 힘을 과시하기 위해 맹수 퇴치 의뢰를 받긴 했지만, 맹수가 무서워 의뢰를 해결할 사람이 없었다고 한다. 연구자는 길드의 체면을 지킬 수 있어 마음이 놓인 듯하다."
4,"TEXT_BANGNA304_02264_SEQ_04",""
5,"TEXT_BANGNA304_02264_SEQ_05",""
6,"TEXT_BANGNA304_02264_SEQ_06",""
7,"TEXT_BANGNA304_02264_SEQ_07",""
8,"TEXT_BANGNA304_02264_SEQ_08",""
9,"TEXT_BANGNA304_02264_SEQ_09",""
10,"TEXT_BANGNA304_02264_SEQ_10",""
11,"TEXT_BANGNA304_02264_SEQ_11",""
12,"TEXT_BANGNA304_02264_SEQ_12",""
13,"TEXT_BANGNA304_02264_SEQ_13",""
14,"TEXT_BANGNA304_02264_SEQ_14",""
15,"TEXT_BANGNA304_02264_SEQ_15",""
16,"TEXT_BANGNA304_02264_SEQ_16",""
17,"TEXT_BANGNA304_02264_SEQ_17",""
18,"TEXT_BANGNA304_02264_SEQ_18",""
19,"TEXT_BANGNA304_02264_SEQ_19",""
20,"TEXT_BANGNA304_02264_SEQ_20",""
21,"TEXT_BANGNA304_02264_SEQ_21",""
22,"TEXT_BANGNA304_02264_SEQ_22",""
23,"TEXT_BANGNA304_02264_SEQ_23",""
24,"TEXT_BANGNA304_02264_TODO_00","<Sheet(EObj,2006871,0)/>에서 둘러보다 짐승이 나타나면 처치"
25,"TEXT_BANGNA304_02264_TODO_01","연구자에게 보고"
26,"TEXT_BANGNA304_02264_TODO_02",""
27,"TEXT_BANGNA304_02264_TODO_03",""
28,"TEXT_BANGNA304_02264_TODO_04",""
29,"TEXT_BANGNA304_02264_TODO_05",""
30,"TEXT_BANGNA304_02264_TODO_06",""
31,"TEXT_BANGNA304_02264_TODO_07",""
32,"TEXT_BANGNA304_02264_TODO_08",""
33,"TEXT_BANGNA304_02264_TODO_09",""
34,"TEXT_BANGNA304_02264_TODO_10",""
35,"TEXT_BANGNA304_02264_TODO_11",""
36,"TEXT_BANGNA304_02264_TODO_12",""
37,"TEXT_BANGNA304_02264_TODO_13",""
38,"TEXT_BANGNA304_02264_TODO_14",""
39,"TEXT_BANGNA304_02264_TODO_15",""
40,"TEXT_BANGNA304_02264_TODO_16",""
41,"TEXT_BANGNA304_02264_TODO_17",""
42,"TEXT_BANGNA304_02264_TODO_18",""
43,"TEXT_BANGNA304_02264_TODO_19",""
44,"TEXT_BANGNA304_02264_TODO_20",""
45,"TEXT_BANGNA304_02264_TODO_21",""
46,"TEXT_BANGNA304_02264_TODO_22",""
47,"TEXT_BANGNA304_02264_TODO_23",""
48,"TEXT_BANGNA304_02264_SEARCHER_000_000","스스스스스…… 잘 왔다, 인간 모험가여.
네게 꼭 맡기고 싶은 의뢰가 있다."
49,"TEXT_BANGNA304_02264_SEARCHER_000_001","알다시피 우리가 꼬리깃 마을과 거래를 시작하면서
서로 오가는 일이 많아졌다."
50,"TEXT_BANGNA304_02264_SEARCHER_000_002","그런데 오가는 이들을 노리고
포악한 짐승이 덤벼드는 사태가 자주 생기고 있다.
동포와 인간 모두 피해를 입고 있으니 방치할 수 없어."
51,"TEXT_BANGNA304_02264_SEARCHER_000_003","그러니 초코보 숲을 세 군데만 둘러보고
만약 짐승이 나타나면 처치해 줬으면 하네.
상대가 누구든 봐줄 필요는 없다…… 스스스스스."
52,"TEXT_BANGNA304_02264_SEARCHER_000_010","스스스스스…… 퇴치하고 왔나? 고맙다!
하마터면 길드의 체면이 구겨질 뻔했어!"
53,"TEXT_BANGNA304_02264_SEARCHER_000_011","응? 아니, 실은 그게……
우리 힘을 과시하기 위해 맹수 퇴치 의뢰를 받았는데,
상대가 포악한 곰이라는 말에 다들 겁을 먹어서……."
54,"TEXT_BANGNA304_02264_SEARCHER_000_012","그동안 아무도 의뢰를 수락하지 않아 난감했는데
역시 으뜸가는 모험가는 그릇이 다르군!
우리 동포들도 좀 본받았으면…… 스스스스스."
