key,0,1
#,,
int32,str,str
0,"TEXT_JOBREL200_02284_SEQ_00","<UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow>특수 규칙:  직업 고정<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
아르다시르는 계속해서 인조 정령을 연구하고 싶은 듯하다."
1,"TEXT_JOBREL200_02284_SEQ_01","※ 이 퀘스트에는 <UIForeground>F201F6</UIForeground><UIGlow>F201F7</UIGlow> 직업 고정<UIGlow>01</UIGlow><UIForeground>01</UIForeground>이 적용됩니다.
   퀘스트 수락 시의 직업으로만 퀘스트를 진행할 수 있습니다.

아르다시르는 인조 정령에게 모험가의 에테르를 쉽게 전달할 수 있도록 아니마 웨폰을 개량하자고 제안했다. 이를 위해 먼저 게롤트가 사용하는 도구를 절령화해야 하는 모양이다. 게롤트가 절령화에 필요한 <Sheet(Item,14899,0)/><13>FF0F02280BFF054974656DF23A330103FF04EBA5BCFF04EC9D84</13> 모아달라고 부탁했다. 퀘스트를 받았을 때의 직업이 되어, '아니마 웨폰'을 소지품에 보유한 상태로 나선 발착장에 있는 아르다시르에게 <Sheet(Item,14899,0)/><13>FF0F02280BFF054974656DF23A330103FF04EBA5BCFF04EC9D84</13> 5개 건네자."
2,"TEXT_JOBREL200_02284_SEQ_02","아르다시르에게 <Sheet(Item,14899,0)/><13>FF0F02280BFF054974656DF23A330103FF04EBA5BCFF04EC9D84</13> 건넸다. 모험가의 에테르가 인조 정령에게 전달된 증거로 무기가 아름답게 빛났다. 인조 정령에게도 변화가 나타난 듯한데……. 다음 연구에 대비해 '초전도 아니마 웨폰'과 함께 성장하자."
3,"TEXT_JOBREL200_02284_SEQ_03",""
4,"TEXT_JOBREL200_02284_SEQ_04",""
5,"TEXT_JOBREL200_02284_SEQ_05",""
6,"TEXT_JOBREL200_02284_SEQ_06",""
7,"TEXT_JOBREL200_02284_SEQ_07",""
8,"TEXT_JOBREL200_02284_SEQ_08",""
9,"TEXT_JOBREL200_02284_SEQ_09",""
10,"TEXT_JOBREL200_02284_SEQ_10",""
11,"TEXT_JOBREL200_02284_SEQ_11",""
12,"TEXT_JOBREL200_02284_SEQ_12",""
13,"TEXT_JOBREL200_02284_SEQ_13",""
14,"TEXT_JOBREL200_02284_SEQ_14",""
