key,0,1
#,,
int32,str,str
0,"TEXT_BANALL140_02385_SEQ_00","나키 섬에 있는 으뜸이는 의기소침한 듯하다."
1,"TEXT_BANALL140_02385_SEQ_01","으뜸이와 올 디는 굴린부르스티를 찾기 위해 마대륙 아지스 라로 향했다. 마대륙 아지스 라 '나선 발착장'에 있는 '으뜸이'와 합류하자."
2,"TEXT_BANALL140_02385_SEQ_02","으뜸이와 합류했다. 올 디는 드래곤족을 대상으로 목격 정보를 수집하겠다고 한다. 마대륙 아지스 라 '델타 구역'으로 간 '올 디'와 대화하자."
3,"TEXT_BANALL140_02385_SEQ_03","올 디와 대화했다. 그는 이곳 드래곤족과 말이 통하지 않는다고 한다. 이에 모험가는 티아마트에게 물어볼 것을 제안했다. 티아마트와 대화하기 위해 마대륙 아지스 라 '반려자의 책형대'에 있는 <Sheet(EObj,2007518,0)/><14>FF1002280CFF05454F626AF61EA1DE0103FF04EBA19CFF07EC9CBCEBA19C</14> 향하자."
4,"TEXT_BANALL140_02385_SEQ_04","반려자의 책형대에서 티아마트와 대화했다. 그녀는 굴린부르스티가 북동쪽 하늘섬으로 갔다고 한다. 마대륙 아지스 라 '베타 구역'에 있는 '으뜸이'와 대화하자."
5,"TEXT_BANALL140_02385_SEQ_05","으뜸이가 굴린부르스티를 찾았다고 한다. 그곳에는 나자아 자브와 그의 의뢰인 드루수스 말 소라누스도 있었다. 자아를 잃은 굴린부르스티는 드루수스 말 소라누스를 태워 죽이고 으뜸이에게 덤벼들었으나, 바로 그때 모그진이 나타난다. 모그진도 불타 죽은 것처럼 보였지만, 그것은 가짜였다. 올 디가 내지른 용의 포효를 듣고 굴린부르스티는 자아를 되찾는다. 이어서 리누바리와 떼구름의 리누바누도 달려와 나자아 자브를 물리쳤다. 야만족들이 힘을 합친 덕분에 사건은 해결되고, 올 디와 굴린부르스티는 드라바니아 구름바다로 돌아갔다. 리누바리가 잔치를 열 테니 나키 섬에 들렀다 가라고 제안했다. 아발라시아 구름바다 '나키 섬'에 있는 '리누바리'와 대화하자."
6,"TEXT_BANALL140_02385_SEQ_06","리누바리와 대화했다. 모험가는 리누바리와 함께 '태양과 달의 춤'을 선보이고, 야만족들과 밤새도록 춤을 추며 놀았다. 모험가가 하나로 이어준 다섯 종족의 믿음은 새로운 미래를 다지는 주춧돌이 될 것이다……."
7,"TEXT_BANALL140_02385_SEQ_07",""
