key,0,1
#,,
int32,str,str
0,"TEXT_BANMOG502_02308_SEQ_00","바르 레스 광장의 똘똘한 모그에크는 모험가에게 부탁할 일이 있는 듯하다."
1,"TEXT_BANMOG502_02308_SEQ_01","모그에크가 크리스탈을 모으러 간 모그리들에게 지시를 내려달라고 부탁했다. 솜 알 멧부리에 있는 '결정을 캐는 모그리족'과 대화하자."
2,"TEXT_BANMOG502_02308_SEQ_02","결정을 캐는 모그리족과 대화했다. 장인이 원하는 크리스탈이 무엇인지 모르겠으니, 참고할 크리스탈을 골라달라고 한다. 지상왕의 영지에 있는 <Sheet(EObj,2007249,0)/>에서 <Sheet(EventItem,2001991,0)/><13>FF15022811FF0A4576656E744974656DF61E8C470103FF04EBA5BCFF04EC9D84</13> 손에 넣자."
3,"TEXT_BANMOG502_02308_SEQ_03","<Sheet(EventItem,2001991,0)/><13>FF15022811FF0A4576656E744974656DF61E8C470103FF04EBA5BCFF04EC9D84</13> 손에 넣었다. 솜 알 멧부리에 있는 '결정을 캐는 모그리족'에게 <Sheet(EventItem,2001991,0)/><13>FF15022811FF0A4576656E744974656DF61E8C470103FF04EBA5BCFF04EC9D84</13> 건네자."
4,"TEXT_BANMOG502_02308_SEQ_04","결정을 캐는 모그리족에게 <Sheet(EventItem,2001991,0)/><13>FF15022811FF0A4576656E744974656DF61E8C470103FF04EBA5BCFF04EC9D84</13> 납품했다. 이제 크리스탈 수집이 수월하게 진행될 것이다. 바르 레스 광장에 있는 '똘똘한 모그에크'에게 보고하자."
5,"TEXT_BANMOG502_02308_SEQ_05","모그에크에게 보고했다. 모그에크는 드래곤족이 크리스탈 채굴지를 알려줬다며, 그들의 해박한 지식에 감탄했다."
6,"TEXT_BANMOG502_02308_SEQ_06",""
7,"TEXT_BANMOG502_02308_SEQ_07",""
8,"TEXT_BANMOG502_02308_SEQ_08",""
9,"TEXT_BANMOG502_02308_SEQ_09",""
10,"TEXT_BANMOG502_02308_SEQ_10",""
11,"TEXT_BANMOG502_02308_SEQ_11",""
12,"TEXT_BANMOG502_02308_SEQ_12",""
13,"TEXT_BANMOG502_02308_SEQ_13",""
14,"TEXT_BANMOG502_02308_SEQ_14",""
15,"TEXT_BANMOG502_02308_SEQ_15",""
16,"TEXT_BANMOG502_02308_SEQ_16",""
