key,0,1
#,,
int32,str,str
0,"TEXT_JOBMNK680_02429_SEQ_00","알라가나에 있는 위다르겔트는 낙담한 모양이다."
1,"TEXT_JOBMNK680_02429_SEQ_01","위다르겔트는 실의에 빠진 것 같다. 알라가나에 있는 '오차크하'와 대화하자."
2,"TEXT_JOBMNK680_02429_SEQ_02","오차크하는 실의에 빠진 위다르겔트를 걱정하는 듯하다. 기라바니아 변방지대 '랄거의 손길'에 있는 '에릭'과 대화하자."
3,"TEXT_JOBMNK680_02429_SEQ_03","에릭은 테오발드에 대해 조사했던 모양이다. 알라가나에 있는 '위다르겔트'와 대화하자."
4,"TEXT_JOBMNK680_02429_SEQ_04","위다르겔트는 실의를 딛고 일어선 것 같다. 기라바니아 변방지대의 기르케힘 승원에 있는 '위다르겔트'와 합류하자."
5,"TEXT_JOBMNK680_02429_SEQ_05","위다르겔트에게 새로운 전법을 가르치기 위한 수련을 시작했다. 수련 도중, 에릭에게 심부름을 부탁받았다는 휴에랄드라는 남자가 찾아왔다. 기라바니아 변방지대 극동의 혼합림에 있는 '휴에랄드'와 대화하자."
6,"TEXT_JOBMNK680_02429_SEQ_06","휴에랄드라는 남자는 변장한 해골단이었다. 에릭을 인질로 잡은 해골단의 공격을 물리쳤다. 기라바니아 변방지대에 있는 '휴에랄드'와 대치하자."
7,"TEXT_JOBMNK680_02429_SEQ_07","위다르겔트 일행이 달려오자 휴에랄드는 도망쳤다. 극동의 혼합림에 있는 '에릭'과 대화하자."
8,"TEXT_JOBMNK680_02429_SEQ_08","에릭은 모험가에게 고마워하는 것 같다. 알라가나에 있는 '위다르겔트'와 대화하자."
9,"TEXT_JOBMNK680_02429_SEQ_09","위다르겔트는 강해지기 위한 단련을 쌓아 나가기로 했다. 그가 테오발드를 쓰러뜨릴 힘을 얻을 거라 믿고 기다리자. 

※ 몽크 레벨이 70 이상 되면 알라가나에 있는 위다르겔트에게 다음 몽크 퀘스트를 받을 수 있습니다."
10,"TEXT_JOBMNK680_02429_SEQ_10",""
11,"TEXT_JOBMNK680_02429_SEQ_11",""
12,"TEXT_JOBMNK680_02429_SEQ_12",""
13,"TEXT_JOBMNK680_02429_SEQ_13",""
14,"TEXT_JOBMNK680_02429_SEQ_14",""
15,"TEXT_JOBMNK680_02429_SEQ_15",""
