key,0,1
#,,
int32,str,str
0,"TEXT_STMBDA315_02491_SEQ_00","이사리 마을에 있는 고우세츠는 기쁨을 감추지 못하고 있다."
1,"TEXT_STMBDA315_02491_SEQ_01","해적 형제단의 도움으로, 모험가들의 존재를 숨긴 채 이사리 마을을 해방하는 데 성공했다. 무사히 돌아온 고우세츠가 얀샤로 출발하자고 제안했다. '얀샤'로 향하자."
2,"TEXT_STMBDA315_02491_SEQ_02","얀샤에 진입했다. 얀샤의 왜가리 폭포 부근에서 '고우세츠'와 대화하자."
3,"TEXT_STMBDA315_02491_SEQ_03","고우세츠가 얀샤의 상황을 설명해주었다. 얀샤의 나마이 마을 부근에서 '고우세츠'와 다시 대화하자."
4,"TEXT_STMBDA315_02491_SEQ_04","고우세츠와 대화했다. 나마이 마을에서는 사람들이 생활하고 있는 기척은 느껴졌지만……."
5,"TEXT_STMBDA315_02491_SEQ_05",""
6,"TEXT_STMBDA315_02491_SEQ_06",""
7,"TEXT_STMBDA315_02491_SEQ_07",""
8,"TEXT_STMBDA315_02491_SEQ_08",""
9,"TEXT_STMBDA315_02491_SEQ_09",""
10,"TEXT_STMBDA315_02491_SEQ_10",""
11,"TEXT_STMBDA315_02491_SEQ_11",""
12,"TEXT_STMBDA315_02491_SEQ_12",""
13,"TEXT_STMBDA315_02491_SEQ_13",""
14,"TEXT_STMBDA315_02491_SEQ_14",""
15,"TEXT_STMBDA315_02491_SEQ_15",""
16,"TEXT_STMBDA315_02491_SEQ_16",""
17,"TEXT_STMBDA315_02491_SEQ_17",""
18,"TEXT_STMBDA315_02491_SEQ_18",""
19,"TEXT_STMBDA315_02491_SEQ_19",""
20,"TEXT_STMBDA315_02491_SEQ_20",""
21,"TEXT_STMBDA315_02491_SEQ_21",""
22,"TEXT_STMBDA315_02491_SEQ_22",""
23,"TEXT_STMBDA315_02491_SEQ_23",""
24,"TEXT_STMBDA315_02491_TODO_00","얀샤로 이동"
25,"TEXT_STMBDA315_02491_TODO_01","고우세츠와 대화"
26,"TEXT_STMBDA315_02491_TODO_02","고우세츠와 다시 대화"
27,"TEXT_STMBDA315_02491_TODO_03",""
28,"TEXT_STMBDA315_02491_TODO_04",""
29,"TEXT_STMBDA315_02491_TODO_05",""
30,"TEXT_STMBDA315_02491_TODO_06",""
