key,0,1
#,,
int32,str,str
0,"TEXT_CLSMIN630_02555_SEQ_00","이딜샤이어에 있는 노노와토는 모험가에게 광석 채굴을 부탁하고 싶은 모양이다."
1,"TEXT_CLSMIN630_02555_SEQ_01","노노와토와 대화했다. 자세한 얘기를 듣기 위해 스틱킥스의 공방에 있는 '스틱킥스'와 대화하자."
2,"TEXT_CLSMIN630_02555_SEQ_02","스틱킥스와 대화했다. 연구원들이 싸워서 장갑 개발이 중지됐다고 한다. 싸운 원인을 알기 위해 스틱킥스의 공방에 있는 '크뤼스트륌'과 '포크위다'와 대화하자."
3,"TEXT_CLSMIN630_02555_SEQ_03","크뤼스트륌과 포크위다에게 얘기를 들었다. 두 사람은 물리 공격과 마법 공격 중에 어떤 것에 중점을 두고 장갑을 만들지 의견이 안 맞아 싸웠다고 한다. 스틱킥스의 공방에 있는 '스틱킥스'에게 보고하자."
4,"TEXT_CLSMIN630_02555_SEQ_04","스틱킥스에게 보고했다. 그는 이 문제 해결을 위해 <Sheet(ItemHQ,17941,0)/><13>FF1102280DFF074974656D4851F246150103FF04EBA5BCFF04EC9D84</13> 채굴해달라고 부탁한다. 스틱킥스의 공방에 있는 '스틱킥스'에게 '<Sheet(ItemHQ,17941,0)/>'<13>FF1102280DFF074974656D4851F246150103FF04EBA5BCFF04EC9D84</13> 3개 납품하자. '<Sheet(ItemHQ,17941,0)/>'<13>FF1102280DFF074974656D4851F246150103FF04EB8A94FF04EC9D80</13> 기라바니아 변방지대의 줄무늬 고원에 있는 광맥에서 채굴할 수 있다."
5,"TEXT_CLSMIN630_02555_SEQ_05","스틱킥스에게 <Sheet(ItemHQ,17941,0)/><13>FF1102280DFF074974656D4851F246150103FF04EBA5BCFF04EC9D84</13> 납품했다. 그는 <Sheet(ItemHQ,17941,0)/><14>FF1102280DFF074974656D4851F246150103FF04EBA19CFF07EC9CBCEBA19C</14> 만든 주괴를 크뤼스트륌과 포크위다에게 보여주고, 이것을 사용해 물리 공격과 마법 공격을 모두 충족시키는 장갑을 개발하라고 지시했다. 두 사람은 힘을 합쳐 장갑 개발에 전념하기로 한다. 에테라이트 광장에 있는 '노노와토'와 대화하자."
6,"TEXT_CLSMIN630_02555_SEQ_06","노노와토와 대화했다. 다음 의뢰를 받을 때까지 광부 기술을 연마하자.

※ 광부 레벨 65 이상 되면 이딜샤이어에 있는 노노와토에게 다음 광부 퀘스트를 받을 수 있습니다. "
7,"TEXT_CLSMIN630_02555_SEQ_07",""
