key,0,1
#,,
int32,str,str
0,"TEXT_CLSGLD680_02602_SEQ_00","랄거의 손길에 있는 에메로스는 어떤 사람의 연락을 기다리고 있는 듯하다."
1,"TEXT_CLSGLD680_02602_SEQ_01","에메로스와 대화했다. 제자들의 일이 인정을 받아 모험가의 지도자 역할이 벌써 성과를 내고 있는 듯하다. 랄거의 손길의 차크라 대폭포 부근에 있는 '자케비카'와 대화하자. "
2,"TEXT_CLSGLD680_02602_SEQ_02","자케비카와 대화해 울다하의 나나모 여왕에게 선물을 하고 싶다는 상담을 받았다. 울다하의 보석점 '에쉬템'에 있는 '마르셀'과 대화하자. "
3,"TEXT_CLSGLD680_02602_SEQ_03","마르셀과 대화했다. 울다하의 사파이어길 국제시장에 있는 '자케비카' '위도' '할'과 대화하자. "
4,"TEXT_CLSGLD680_02602_SEQ_04","제자들과 대화했다. 나나모 여왕과 닮은 여성이 남들의 눈을 피해 자주 방문하는 장소가 있다고 한다. 사파이어길 국제시장의 '<Sheet(EObj,2007948,0)/>'에서 대기하자. "
5,"TEXT_CLSGLD680_02602_SEQ_05","나나모 여왕은 작고 귀여운 오케스트리온을 갖고 싶어한다는 사실을 알게 됐다. 랄거의 손길로 돌아가 '에메로스'와 대화하자. "
6,"TEXT_CLSGLD680_02602_SEQ_06","복잡한 기계 제작에 처음으로 도전하는 제자들을 위해 견본으로 태엽시계를 만들기로 했다. '<Sheet(Item,17905,0)/>'<13>FF0F02280BFF054974656DF245F10103FF04EBA5BCFF04EC9D84</13> 가지고 '<Sheet(ItemHQ,17906,0)/>'<13>FF1102280DFF074974656D4851F245F20103FF04EBA5BCFF04EC9D84</13> 만들어 랄거의 손길에 있는 '에메로스'에게 납품하자.

※ '<Sheet(Item,17905,0)/>'<13>FF0F02280BFF054974656DF245F10103FF04EBA5BCFF04EC9D84</13> 잃어버렸을 때에는 칸차나에게 말을 걸어주세요. 재료를 다시 받아 재도전할 수 있습니다. "
7,"TEXT_CLSGLD680_02602_SEQ_07","에메로스에게 납품했다. 큰 목표가 생기자 제자들의 의욕도 충만해진 듯하다. 그들의 좋은 사범으로 알라미고의 장래에 공헌하기 위해 보석공예가의 실력을 더욱더 연마하도록 하자. 

※ 보석공예가 레벨이 70 이상 되면 랄거의 손길에 있는 에메로스에게 다음 보석공예가 퀘스트를 받을 수 있습니다. "
