key,0,1
#,,
int32,str,str
0,"TEXT_JOBSCH680_02926_SEQ_00","고요한 야영지에 있는 알카 졸카는 고민이 있는 모양이다."
1,"TEXT_JOBSCH680_02926_SEQ_01","알카 졸카와 대화했다. 아직 눈을 뜨지 않은 세토토에 대해서 고지 라노시아의 방랑자의 궁전에 있는 '스리토 카리토'와 의논하자."
2,"TEXT_JOBSCH680_02926_SEQ_02","스리토 카리토는 불완전한 요정 '라일락'을 찾아서 소멸시키면 세토토가 눈을 뜰 가능성이 있다고 한다. 고요한 야영지에 있는 '알카 졸카'에게 보고하자."
3,"TEXT_JOBSCH680_02926_SEQ_03","알카 졸카와 대화했다. 도중에 나타난 랑드넬이 말하길, '보라색 도깨비불'처럼 생긴 망령을 목격했다는 정보가 잇따르고 있다고 한다. '보라색 도깨비불'을 찾기 위해남부삼림의 높은길에 있는 <Sheet(EObj,2008557,0)/>에서 주변을 둘러보자."
4,"TEXT_JOBSCH680_02926_SEQ_04","<Sheet(EObj,2008557,0)/>에서 주변을 둘러봤지만 '보라색 도깨비불'은 찾지 못했다. 남부삼림의 높은길에 있는 <Sheet(EObj,2008558,0)/>에서 다시 주변을 둘러보자."
5,"TEXT_JOBSCH680_02926_SEQ_05","<Sheet(EObj,2008558,0)/>에서 주변을 둘러봤지만 '보라색 도깨비불'은 찾지 못했다. 남부삼림의 높은길에 있는 <Sheet(EObj,2008559,0)/>에서 또다시 주변을 둘러보자."
6,"TEXT_JOBSCH680_02926_SEQ_06","<Sheet(EObj,2008559,0)/>에서 주변을 둘러보고 '보라색 도깨비불'을 발견했다. 그렇지만 그것은 라일락이 아니라 요마였기 때문에 처치했다. 고요한 야영지에서 '알카 졸카'에게 보고하자."
7,"TEXT_JOBSCH680_02926_SEQ_07","알카 졸카에게 보고했다. '보라색 도깨비불'의 수색은 불발로 끝났으나, 랑드넬이 가져온 새로운 정보에 따르면 '보라색 도깨비불'이 옛 암다포르 시가지로 도망쳤다고 한다. 옛 암다포르 시가지에 출입 허가가 떨어질 때까지 철저히 준비하고 기다리자. 

※ 학자 레벨이 70 이상 되면 고요한 야영지에 있는 알카 졸카에게 다음 학자 퀘스트를 받을 수 있습니다."
8,"TEXT_JOBSCH680_02926_SEQ_08",""
9,"TEXT_JOBSCH680_02926_SEQ_09",""
