key,0,1
#,,
int32,str,str
0,"TEXT_CHRHDB711_03008_SEQ_00","쿠가네에 있는 키 작은 소년은 부탁하고 싶은 일이 있는 듯하다.  "
1,"TEXT_CHRHDB711_03008_SEQ_01","지금까지의 이야기:
이슈가르드에서 일어난 창천기사단 사기 사건을 어쩌다 보니 해결한 힐디브랜드였으나, 그는 줄리안에게 강렬한 일격을 맞고 하늘 높이 날아가버렸다. 그 후로 그를 본 사람은 아무도 없다고 하는데…….
　　　　　　　　　　　　*　*　*
키 작은 소년은 아리따운 미코테족 여성이 혼자서 다니고 있는 것을 걱정하고 있는 듯하다. 쿠가네의 시오카제 정에서 '미코테족 여성'을 찾자."
2,"TEXT_CHRHDB711_03008_SEQ_02","아리따운 미코테족 여성은 나슈 마카라카였다. 나마즈오족 교도의 거짓말에 속아 정보료를 갈취당할 뻔한 그녀를 도와주었다. 시오카제 정에 있는 '나슈 마카라카'와 대화하자. "
3,"TEXT_CHRHDB711_03008_SEQ_03","나슈 마카라카와 대화했다. 힐디브랜드를 찾아내기 위해 사건을 찾기로 했다. 쿠가네에서 주민들에게 사건이 일어나지 않았는지 조사해보자."
4,"TEXT_CHRHDB711_03008_SEQ_04","주민들에게 탐문 조사를 해보니 연속 빈집털이 사건이 일어나고 있는 모양이다. 쿠가네의 라쿠자 거리에 있는 '나슈 마카라카'에게 보고하자."
5,"TEXT_CHRHDB711_03008_SEQ_05","나슈 마카라카에게 보고했다. 그녀는 연속 빈집털이 사건의 피해자인 아케보노를 찾으러 갔다. 라쿠자 거리에 있는 '나슈 마카라카'와 대화하자."
6,"TEXT_CHRHDB711_03008_SEQ_06","나슈 마라카라와 대화하고 아케보노에게 이야기를 들었다. 피해를 입은 창고 안에는 '좀도둑 외로운 늑대, 왔다 감!'이라고 쓰여 있는 범인의 쪽지가 남겨져 있었다고 한다. 다시 라쿠자 거리에 있는 '나슈 마카라카'와 대화하자."
7,"TEXT_CHRHDB711_03008_SEQ_07","나슈 마카라카와 대화했다. 그녀는 범인을 추적하기 위해 정보를 수집하겠다고 한다. 힐디브랜드를 빨리 찾을 수 있으면 좋겠지만, 좀도둑 외로운 늑대란 대체 무엇일까……."
8,"TEXT_CHRHDB711_03008_SEQ_08",""
9,"TEXT_CHRHDB711_03008_SEQ_09",""
