key,0,1
#,,
int32,str,str
0,"TEXT_STMBDY004_03077_SEQ_00","랄거의 손길에 있는 필리엇은 모험가를 찾고 있는 듯하다."
1,"TEXT_STMBDY004_03077_SEQ_01","필리엇과 대화했다. 무한연속 박물함에서 계측된 방대한 에너지 반응의 조사를 도와달라고 한다. 아지스 라 '제VI전송고리'의 알라그 전송 장치 앞에서 '필리엇'과 만나자."
2,"TEXT_STMBDY004_03077_SEQ_02","필리엇과 합류했다. 엔터프라이즈급 비공정을 타고 무한연속 박물함에 잠입하게 되었다. '무한연속 박물함(어려움)'을 공략하자.
 
※ '임무 찾기'를 통해, 본 임무의 공략에 참가할 수 있습니다."
3,"TEXT_STMBDY004_03077_SEQ_03","무한연속 박물함에서 폭주하는 고대 병기를 파괴했다. 제VI전송고리의 알라그 전송 장치 부근에 있는 '필리엇'과 대화하자."
4,"TEXT_STMBDY004_03077_SEQ_04","필리엇과 대화했다. 고대 병기를 폭주시킨 이크살족과 얘기하기 위해 북부삼림으로 간 '필리엇'과 합류하자. "
5,"TEXT_STMBDY004_03077_SEQ_05","필리엇과 합류했다. 고대 병기를 폭주하게 만든 케즐 이츠칸은, 예로부터 이크살족에게 전해 내려온 환상의 부유대륙 '아야틀란'을 찾다가 무한연속 박물함에 가게 된 것 같다. 하지만 무한연속 박물함에 전시되어 있던 '이크살리온'을 발견하면서, 이크살족이 알라그 제국이 만들어낸 합성 마물이라는 사실을 알게 되었다. 진실을 알고 의기소침해 있는 케즐 이츠칸에게 스승인 세즐 토톨록은, 자신들이 만들어진 존재라 할지라도 낙원을 찾아 하늘을 날고자 하는 뜨거운 열정만큼은 가짜가 아니라고 말한다. 그 얘기를 들은 케즐 이츠칸은 앞으로도 새로운 아야틀란을 찾아 더욱 열심히 기구를 만들겠노라 다짐한다. 에카틀 실험장 부근에 있는 '필리엇'과 대화하자. "
6,"TEXT_STMBDY004_03077_SEQ_06","필리엇과 대화했다. 빈민 출신이라는 사실에 열등감을 품고 있던 필리엇은, 이크살족의 출생에 관한 진실을 알고도 계속해서 꿈을 쫓는 세즐 토톨록을 보고, 누구나 꿈을 쫓을 자격이 있다고 깨달은 듯하다. 망설임을 버린 필리엇은 시드 같은 훌륭한 기공사가 되기 위해 새롭게 출발할 것을 다짐한다. "
7,"TEXT_STMBDY004_03077_SEQ_07",""
