key,0,1
#,,
int32,str,str
0,"TEXT_LUCKBB101_03261_SEQ_00","※ 이 퀘스트는 직업 '건브레이커'를 획득하기 위한 퀘스트입니다.

에테라이트 광장에 있는 성실한 신궁부대원은 사람을 모집 중인 듯하다."
1,"TEXT_LUCKBB101_03261_SEQ_01","성실한 신궁부대원이 도적단 수색을 부탁했다. 동부삼림 '가시나무 숲'에서 '<Sheet(EObj,2010237,0)/>' 주위를 둘러보자."
2,"TEXT_LUCKBB101_03261_SEQ_02","<Sheet(EObj,2010237,0)/>에서 주위를 둘러보다가 이국적인 두 사람이 도적에게 공격받는 모습을 발견했다. 가시나무 숲에서 격분한 도적을 처치하자."
3,"TEXT_LUCKBB101_03261_SEQ_03","격분한 도적을 처치했다. 가시나무 숲에서 '처음 보는 무기를 지닌 거한'을 구조하자."
4,"TEXT_LUCKBB101_03261_SEQ_04","처음 보는 무기를 지닌 거한을 구조했다. 그들은 호위업을 시작하기 위해 일사바드 대륙에서 에오르제아로 왔다고 한다. 모험가에게 건브레이커가 되어 호위업을 도와달라고 한다. 가시나무 숲에 있는 '라도반'에게 대답을 전하자."
5,"TEXT_LUCKBB101_03261_SEQ_05","라도반의 부탁을 수락했다. 건네받은 '<Sheet(ItemHQ,27357,0)/>'<13>FF1102280DFF074974656D4851F26ADD0103FF04EBA5BCFF04EC9D84</13> 장비하고 다시 '라도반'과 대화하자."
6,"TEXT_LUCKBB101_03261_SEQ_06",""
7,"TEXT_LUCKBB101_03261_SEQ_07",""
8,"TEXT_LUCKBB101_03261_SEQ_08",""
9,"TEXT_LUCKBB101_03261_SEQ_09",""
10,"TEXT_LUCKBB101_03261_SEQ_10",""
11,"TEXT_LUCKBB101_03261_SEQ_11",""
12,"TEXT_LUCKBB101_03261_SEQ_12",""
13,"TEXT_LUCKBB101_03261_SEQ_13",""
14,"TEXT_LUCKBB101_03261_SEQ_14",""
15,"TEXT_LUCKBB101_03261_SEQ_15",""
16,"TEXT_LUCKBB101_03261_SEQ_16",""
17,"TEXT_LUCKBB101_03261_SEQ_17",""
18,"TEXT_LUCKBB101_03261_SEQ_18",""
19,"TEXT_LUCKBB101_03261_SEQ_19",""
20,"TEXT_LUCKBB101_03261_SEQ_20",""
21,"TEXT_LUCKBB101_03261_SEQ_21",""
