#,Unknown0,Unknown1
0,TEXT_LUCKLA302_03234_SEQ_00,중용의 공예관의 베스릭은 모험가에게 의논할 일이 있는 듯하다.
1,TEXT_LUCKLA302_03234_SEQ_01,
2,TEXT_LUCKLA302_03234_SEQ_02,
3,TEXT_LUCKLA302_03234_SEQ_03,
4,TEXT_LUCKLA302_03234_SEQ_04,
5,TEXT_LUCKLA302_03234_SEQ_05,
6,TEXT_LUCKLA302_03234_SEQ_06,
7,TEXT_LUCKLA302_03234_SEQ_07,
8,TEXT_LUCKLA302_03234_SEQ_08,
9,TEXT_LUCKLA302_03234_SEQ_09,
10,TEXT_LUCKLA302_03234_SEQ_10,
11,TEXT_LUCKLA302_03234_SEQ_11,
12,TEXT_LUCKLA302_03234_SEQ_12,
13,TEXT_LUCKLA302_03234_SEQ_13,
14,TEXT_LUCKLA302_03234_SEQ_14,
15,TEXT_LUCKLA302_03234_SEQ_15,
16,TEXT_LUCKLA302_03234_SEQ_16,
17,TEXT_LUCKLA302_03234_SEQ_17,
18,TEXT_LUCKLA302_03234_SEQ_18,
19,TEXT_LUCKLA302_03234_SEQ_19,
20,TEXT_LUCKLA302_03234_SEQ_20,
21,TEXT_LUCKLA302_03234_SEQ_21,
22,TEXT_LUCKLA302_03234_SEQ_22,
23,TEXT_LUCKLA302_03234_SEQ_23,
24,TEXT_LUCKLA302_03234_TODO_00,성스러운 군생지 목장에 있는 스킵과 대화
25,TEXT_LUCKLA302_03234_TODO_01,"대화창에서 대화 방식을 '말하기'로 한 다음
""옳지 옳지""를 포함한 문장을 입력해 스킵을 안심시킨다"
26,TEXT_LUCKLA302_03234_TODO_02,제작수첩 중용의 공예관 거래: 제작
27,TEXT_LUCKLA302_03234_TODO_03,리다 란에 있는 베스릭과 대화
28,TEXT_LUCKLA302_03234_TODO_04,볼레크도르프에 있는 베스릭과 대화
29,TEXT_LUCKLA302_03234_TODO_05,중용의 공예관에 있는 베스릭과 대화
30,TEXT_LUCKLA302_03234_TODO_06,
31,TEXT_LUCKLA302_03234_TODO_07,
32,TEXT_LUCKLA302_03234_TODO_08,
33,TEXT_LUCKLA302_03234_TODO_09,
34,TEXT_LUCKLA302_03234_TODO_10,
35,TEXT_LUCKLA302_03234_TODO_11,
36,TEXT_LUCKLA302_03234_TODO_12,
37,TEXT_LUCKLA302_03234_TODO_13,
38,TEXT_LUCKLA302_03234_TODO_14,
39,TEXT_LUCKLA302_03234_TODO_15,
40,TEXT_LUCKLA302_03234_TODO_16,
41,TEXT_LUCKLA302_03234_TODO_17,
42,TEXT_LUCKLA302_03234_TODO_18,
43,TEXT_LUCKLA302_03234_TODO_19,
44,TEXT_LUCKLA302_03234_TODO_20,
45,TEXT_LUCKLA302_03234_TODO_21,
46,TEXT_LUCKLA302_03234_TODO_22,
47,TEXT_LUCKLA302_03234_TODO_23,
48,TEXT_LUCKLA302_03234_SYSTEM_100_000,"이 퀘스트를 진행하려면
'주요 퀘스트: 칠흑의 반역자' 중
'즐거운 축하연'을 완료해야 합니다."
49,TEXT_LUCKLA302_03234_BETHRIC_000_000,"말을 걸어주셔서 감사합니다.
그래서 의논할 일이란 건 말이죠……
우선 스킵의 현재 상태부터 말씀드릴게요."
50,TEXT_LUCKLA302_03234_BETHRIC_000_001,"당신과 넴 셸리민을 비롯한 사육사들이 애써준 덕분에
거의 완쾌라 해도 좋을 정도로 많이 나았습니다!"
51,TEXT_LUCKLA302_03234_BETHRIC_000_002,"그렇지만 마음의 상처는 아직…….
독이 든 먹이를 먹은 충격이 다 가시지 않았는지
늘 오들오들 떨며 주위를 경계하고 목장 안에서도 고립돼 있어요."
52,TEXT_LUCKLA302_03234_BETHRIC_000_003,"야생으로 돌려보내든 목장에서 사육하든
신경 과민 상태가 이어진다면 결국 결과는 좋지 않을 겁니다.
즉 스킵은 공포를 극복할 필요가 있는 거죠."
53,TEXT_LUCKLA302_03234_BETHRIC_000_004,"그래서 Player Player 님의
도움을 받고 싶습니다!"
54,TEXT_LUCKLA302_03234_BETHRIC_000_005,"절대 질투하는 건 아니지만
그 아이는 당신한테만큼은 매우 큰 호감을 보이거든요!
절대 질투 같은 건 하고 있지 않습니다!"
55,TEXT_LUCKLA302_03234_BETHRIC_000_006,"평범한 먹이에는 절대 입을 대지 않는 스킵도
신기하게 당신이 만든 먹이만큼은 먹더군요.
더구나 지난번엔 당신과 눈을 마주치기도 했고…… 흑흑……."
56,TEXT_LUCKLA302_03234_BETHRIC_000_007,"아, 아무튼 실제로 시험해 보는 게 빠르겠죠.
성스러운 군생지 목장의 '스킵'한테 다가가서
조심히 말을 걸어 봐 주세요!"
57,TEXT_LUCKLA302_03234_BETHRIC_000_008,"자, '스킵'한테 다가가서
조심히 말을 걸어 봐 주세요!"
58,TEXT_LUCKLA302_03234_KNEMCHELEIMIN_000_009,"스킵의 상태를 신경 써 줘서 고맙다.
Player Player  목장에 와 주면
스킵이 기뻐하는 것 같아."
59,TEXT_LUCKLA302_03234_SKIP_200_009,"뀨륵?
뀨르르르륵!!"
60,TEXT_LUCKLA302_03234_SKIP_000_010,"뀨륵?
뀨르르르륵!!"
61,TEXT_LUCKLA302_03234_BETHRIC_000_011,"뭐, 뭐야!?
말을 걸어주니까 기뻐하는…… 거……!?"
62,TEXT_LUCKLA302_03234_BETHRIC_000_012,"흠…… Player Player 님,
이 아이를 더 안심시키기 위해서
'옳지 옳지'라고 말을 걸어 주시겠어요?"
63,TEXT_LUCKLA302_03234_SAYTODO_000_013,옳지 옳지
64,TEXT_LUCKLA302_03234_BETHRIC_000_014,"스킵을 더 안심시키기 위해서
'옳지 옳지'라고 말을 걸어 주세요!"
65,TEXT_LUCKLA302_03234_SYSTEM_000_015,"대화창에서 대화 방식을 '말하기'로 한 다음,
키보드 또는 가상 키보드로 ""옳지 옳지""를 포함하는 문장을
입력해서 스킵을 안심시키세요."
66,TEXT_LUCKLA302_03234_BETHRIC_000_020,"이게…… 어떻게 된 거죠……!
완전히 마음을 연 것 같아요!!"
67,TEXT_LUCKLA302_03234_BETHRIC_000_021,"좋~아, 지금이라면 나도!"
68,TEXT_LUCKLA302_03234_BETHRIC_000_022,스킵~~…………
69,TEXT_LUCKLA302_03234_BETHRIC_000_023,……………….
70,TEXT_LUCKLA302_03234_BETHRIC_000_024,"으으으…… 그런데 도대체 어떻게 된 걸까요.
더 오래 함께 지냈던 사육사조차 이렇겐 못 했었는데.
어째서 Player Player 님에게만……?"
71,TEXT_LUCKLA302_03234_BETHRIC_000_025,"이건 어디까지나 억측이지만……
당신이 스킵의 회복을 절실히 바라며 먹이를 만들어준 것이
큰 영향을 미치지 않았나 싶네요……."
72,TEXT_LUCKLA302_03234_BETHRIC_000_026,"지난번에도 말씀드렸지만 아마로는 마법의 영향을 받은 동물이에요.
더구나 에테르를 민감하게 감지하는 성질이 있다고 하죠."
73,TEXT_LUCKLA302_03234_BETHRIC_000_027,"그 왜, 오랫동안 파트너로 지낸 인간을 등에 태운 아마로가
마치 인간의 마음을 아는 것처럼 움직일 때가 있잖아요!?
이른바 '인수일체' 현상인데, 이 근방에도 에테……"
74,TEXT_LUCKLA302_03234_BETHRIC_000_028,"아아…… 제가 또 정신이 나갔었나 봅니다!
아무튼 스킵은 먹이에 담긴 애정을 느꼈고
그래서 당신이라는 존재에게 편안함을 느끼는 게 아닐까 싶어요!"
75,TEXT_LUCKLA302_03234_BETHRIC_000_029,"이번 당신과의 교류를 통해
마음의 상처가 완쾌되길 기대해야겠네요."
76,TEXT_LUCKLA302_03234_BETHRIC_000_030,"아무튼 다시 본론으로 돌아가자면,
이제 이 아이의 앞날을 생각해야 해요.
야생으로 돌려보낼지 목장에서 계속 사육할지 선택하는 거죠."
77,TEXT_LUCKLA302_03234_BETHRIC_000_031,"물론 스킵 자신의 마음이 가장 중요하지만
직접 대화해서 확인할 수도 없는 노릇이니……."
78,TEXT_LUCKLA302_03234_BETHRIC_000_032,"아아…… 말하는 아마로가 요즘에도 존재한다면 얼마나 좋을까!
음후후, 꿈 깨라고, 베스릭!"
79,TEXT_LUCKLA302_03234_Q1_000_000,뭐라고 말씀하시겠습니까?
80,TEXT_LUCKLA302_03234_Q1_000_001,말하는 아마로와 아는 사이다
81,TEXT_LUCKLA302_03234_Q1_000_002,소개해 줄게
82,TEXT_LUCKLA302_03234_BETHRIC_000_033,"뭐, 뭐, 뭐, 뭐, 뭐라고요~~~~~~!?
그런 기적 같은 일이!!"
83,TEXT_LUCKLA302_03234_BETHRIC_000_034,"인간의 말을 하는 아마로가 현존하고, 더구나 아는 사이라니!
그 존재는 '투파크 아마로' 즉 롱카어로
'위대한 아마로'를 의미하는 존칭이라고도 하는데……"
84,TEXT_LUCKLA302_03234_BETHRIC_000_035,하아아아아아아아……!
85,TEXT_LUCKLA302_03234_BETHRIC_000_036,"이거 정말 가만 있을 수가 없군!
나를 어서 그 낙원으로……
볼레크도르프란 곳으로 데려가줘!!"
86,TEXT_LUCKLA302_03234_BETHRIC_000_037,"앗…… 또 제가 실수를 했네요!
아무튼 스킵을 볼레크도르프로 데려가서
뭘 원하는지, 말하는 아마로에게 물어 봐 달라고 해요!"
87,TEXT_LUCKLA302_03234_BETHRIC_000_038,"그런데 냉정하게 생각해 보면
장난을 좋아하는 요정이 사는 일 메그는 위험 지대…….
저나 스킵이 들어가도 괜찮은 걸까요?"
88,TEXT_LUCKLA302_03234_BETHRIC_000_039,"흠…… 당신이 함께 가면 괜찮을 거라고요……?
그렇지만 지금은 스킵도 함께 데려가야 하니까
안전을 생각해서  준비해……"
89,TEXT_LUCKLA302_03234_BETHRIC_000_040,"……주세요!!!
부탁드립니다아아아아아!!!!"
90,TEXT_LUCKLA302_03234_BETHRIC_000_041,"Player Player 님……!
제발 제작해 주실 수 없을까요!?
만에 하나라도 요정들이 받아주지 않으면 어쩌나 불안해서!"
91,TEXT_LUCKLA302_03234_BETHRIC_000_042,"감사합니다!
저 베스릭, 이 은혜는 결코 잊지 않겠습니다……!
''의 제작을 잘 부탁드립니다!"
92,TEXT_LUCKLA302_03234_BETHRIC_000_043,"혹시 재료가 부족할 경우엔
'넴 셸리민'한테 받으시면 돼요!"
93,TEXT_LUCKLA302_03234_KNEMCHELEIMIN_000_028,"당황할 필요 없다.
재료가 부족하다면 이걸 사용해라."
94,TEXT_LUCKLA302_03234_KNEMCHELEIMIN_000_044," 완성된 모양이군.
베스릭에게 가져다주면 된다."
95,TEXT_LUCKLA302_03234_BETHRIC_000_050,"''의 제작, 잘 부탁드립니다!"
