key,0,1
#,,
int32,str,str
0,"TEXT_LUCKMA305_03295_SEQ_00","여행길 여관에 있는 테슬린은 알리제를 찾고 있는 듯하다."
1,"TEXT_LUCKMA305_03295_SEQ_01","테슬린은 알리제가 순찰 중이라고 말했다. 남쪽 망루에 있는 '<Sheet(EObj,2009849,0)/>'에서 주위를 둘러보자."
2,"TEXT_LUCKMA305_03295_SEQ_02","망루에서 둘러본 결과, 발자국을 발견했다. 근처의 <Sheet(EObj,2009850,0)/><13>FF1002280CFF05454F626AF61EAAFA0103FF04EBA5BCFF04EC9D84</13> 조사하자."
3,"TEXT_LUCKMA305_03295_SEQ_03","발자국은 북서쪽으로 이어져 있었다. 근처의 <Sheet(EObj,2009851,0)/><13>FF1002280CFF05454F626AF61EAAFB0103FF04EBA5BCFF04EC9D84</13> 조사하자."
4,"TEXT_LUCKMA305_03295_SEQ_04","발자국은 계속 북서쪽으로 이어져 있었다. 근처의 <Sheet(EObj,2009852,0)/><13>FF1002280CFF05454F626AF61EAAFC0103FF04EBA5BCFF04EC9D84</13> 조사하자."
5,"TEXT_LUCKMA305_03295_SEQ_05","발자국은 서쪽으로 이어져 있었다. 근처의 <Sheet(EObj,2009853,0)/><13>FF1002280CFF05454F626AF61EAAFD0103FF04EBA5BCFF04EC9D84</13> 조사하자."
6,"TEXT_LUCKMA305_03295_SEQ_06","발자국을 뒤쫓아 알리제와 재회했다. 여행길 여관 부근에 있는 '알리제'와 대화하자."
7,"TEXT_LUCKMA305_03295_SEQ_07","알리제와 대화했다. 알리제는 이 험난한 땅에서 죄식자에 대해 어떤 정보를 입수했을까."
8,"TEXT_LUCKMA305_03295_SEQ_08",""
9,"TEXT_LUCKMA305_03295_SEQ_09",""
10,"TEXT_LUCKMA305_03295_SEQ_10",""
11,"TEXT_LUCKMA305_03295_SEQ_11",""
12,"TEXT_LUCKMA305_03295_SEQ_12",""
13,"TEXT_LUCKMA305_03295_SEQ_13",""
14,"TEXT_LUCKMA305_03295_SEQ_14",""
15,"TEXT_LUCKMA305_03295_SEQ_15",""
16,"TEXT_LUCKMA305_03295_SEQ_16",""
17,"TEXT_LUCKMA305_03295_SEQ_17",""
18,"TEXT_LUCKMA305_03295_SEQ_18",""
19,"TEXT_LUCKMA305_03295_SEQ_19",""
