key,0,1
#,,
int32,str,str
0,"TEXT_LUCKMB116_03317_SEQ_00","플라 엔니 버섯굴에 있는 위드 라드는 무척 만족스러운 듯하다."
1,"TEXT_LUCKMB116_03317_SEQ_01","위드 라드에게서 장로가 돌아왔다는 소식을 들었다. 플라 엔니 버섯굴에 있는 '위드 잉크'와 대화하자."
2,"TEXT_LUCKMB116_03317_SEQ_02","위드 잉크에게 돌지팡이를 받았다. 일 메그의 볼레크도르프에 있는 '몸집 큰 아마로'와 대화하자."
3,"TEXT_LUCKMB116_03317_SEQ_03","몸집 큰 아마로, 세토는 수정 구두를 건네지 않겠다고 거절했다. 볼레크도르프에 있는 '리스파'에게 감정 표현 '/쓰담'을 사용하자."
4,"TEXT_LUCKMB116_03317_SEQ_04","리스파를 쓰다듬었다. 볼레크도르프에 있는 '에오 안'에게 감정 표현 '/쓰담'을 사용하자."
5,"TEXT_LUCKMB116_03317_SEQ_05","에오 안을 쓰다듬었다. 볼레크도르프에 있는 '님부스'에게 감정 표현 '/쓰담'을 사용하자."
6,"TEXT_LUCKMB116_03317_SEQ_06","님부스를 쓰다듬었다. 볼레크도르프에 있는 '위리앙제'와 대화하자."
7,"TEXT_LUCKMB116_03317_SEQ_07","위리앙제와 대화했다. 볼레크도르프에 있는 격세 유전 아마로들은 인간에게 상당히 호의적인 듯하다. 인간을 걱정하는 마음에 협력을 거절하는 그들과 어떻게 하면 협상을 할 수 있을까……"
8,"TEXT_LUCKMB116_03317_SEQ_08",""
9,"TEXT_LUCKMB116_03317_SEQ_09",""
10,"TEXT_LUCKMB116_03317_SEQ_10",""
11,"TEXT_LUCKMB116_03317_SEQ_11",""
12,"TEXT_LUCKMB116_03317_SEQ_12",""
13,"TEXT_LUCKMB116_03317_SEQ_13",""
14,"TEXT_LUCKMB116_03317_SEQ_14",""
15,"TEXT_LUCKMB116_03317_SEQ_15",""
16,"TEXT_LUCKMB116_03317_SEQ_16",""
17,"TEXT_LUCKMB116_03317_SEQ_17",""
18,"TEXT_LUCKMB116_03317_SEQ_18",""
19,"TEXT_LUCKMB116_03317_SEQ_19",""
20,"TEXT_LUCKMB116_03317_SEQ_20",""
21,"TEXT_LUCKMB116_03317_SEQ_21",""
22,"TEXT_LUCKMB116_03317_SEQ_22",""
