#,Unknown0,Unknown1
0,TEXT_LUCKMC106_03327_SEQ_00,똬리가지 마을에 있는 루나르는 계속 일하는 중인 듯하다.
1,TEXT_LUCKMC106_03327_SEQ_01,
2,TEXT_LUCKMC106_03327_SEQ_02,
3,TEXT_LUCKMC106_03327_SEQ_03,
4,TEXT_LUCKMC106_03327_SEQ_04,
5,TEXT_LUCKMC106_03327_SEQ_05,
6,TEXT_LUCKMC106_03327_SEQ_06,
7,TEXT_LUCKMC106_03327_SEQ_07,
8,TEXT_LUCKMC106_03327_SEQ_08,
9,TEXT_LUCKMC106_03327_SEQ_09,
10,TEXT_LUCKMC106_03327_SEQ_10,
11,TEXT_LUCKMC106_03327_SEQ_11,
12,TEXT_LUCKMC106_03327_SEQ_12,
13,TEXT_LUCKMC106_03327_SEQ_13,
14,TEXT_LUCKMC106_03327_SEQ_14,
15,TEXT_LUCKMC106_03327_SEQ_15,
16,TEXT_LUCKMC106_03327_SEQ_16,
17,TEXT_LUCKMC106_03327_SEQ_17,
18,TEXT_LUCKMC106_03327_SEQ_18,
19,TEXT_LUCKMC106_03327_SEQ_19,
20,TEXT_LUCKMC106_03327_SEQ_20,
21,TEXT_LUCKMC106_03327_SEQ_21,
22,TEXT_LUCKMC106_03327_SEQ_22,
23,TEXT_LUCKMC106_03327_SEQ_23,
24,TEXT_LUCKMC106_03327_TODO_00,에서 둘러보기
25,TEXT_LUCKMC106_03327_TODO_01,얽힌뿌리 숲에서 죄식자 처치
26,TEXT_LUCKMC106_03327_TODO_02,민필리아와 대화
27,TEXT_LUCKMC106_03327_TODO_03,에서  찾기
28,TEXT_LUCKMC106_03327_TODO_04,민필리아에게  보여주기
29,TEXT_LUCKMC106_03327_TODO_05,루나르에게  전달
30,TEXT_LUCKMC106_03327_TODO_06,
31,TEXT_LUCKMC106_03327_TODO_07,
32,TEXT_LUCKMC106_03327_TODO_08,
33,TEXT_LUCKMC106_03327_TODO_09,
34,TEXT_LUCKMC106_03327_TODO_10,
35,TEXT_LUCKMC106_03327_TODO_11,
36,TEXT_LUCKMC106_03327_TODO_12,
37,TEXT_LUCKMC106_03327_TODO_13,
38,TEXT_LUCKMC106_03327_TODO_14,
39,TEXT_LUCKMC106_03327_TODO_15,
40,TEXT_LUCKMC106_03327_TODO_16,
41,TEXT_LUCKMC106_03327_TODO_17,
42,TEXT_LUCKMC106_03327_TODO_18,
43,TEXT_LUCKMC106_03327_TODO_19,
44,TEXT_LUCKMC106_03327_TODO_20,
45,TEXT_LUCKMC106_03327_TODO_21,
46,TEXT_LUCKMC106_03327_TODO_22,
47,TEXT_LUCKMC106_03327_TODO_23,
48,TEXT_LUCKMC106_03327_RYNE_000_000,………….
49,TEXT_LUCKMC106_03327_RUNAR_000_010,"오, 밭에 물은 다 줬어?"
50,TEXT_LUCKMC106_03327_RUNAR_000_011,"그래, 고마워.
우리도 당신들의 식사와 잘 곳도
문제없이 마련할 수 있을 것 같아."
51,TEXT_LUCKMC106_03327_MANOFNIGHT03326_000_012,"루나르 씨, 큰일이야……!"
52,TEXT_LUCKMC106_03327_MANOFNIGHT03326_000_013,"떠돌이 죄식자가 나타났어.
아마…… 인간을 죄식자로 만들 수 있는 놈 같아……!"
53,TEXT_LUCKMC106_03327_RUNAR_000_014,구체적인 위치는……!?
54,TEXT_LUCKMC106_03327_MANOFNIGHT03326_000_015,"남쪽의 수풀 안이야.
다행히 똬리가지 마을의 존재는 아직 모르는 것 같아."
55,TEXT_LUCKMC106_03327_RUNAR_000_016,"……그럼 굳이 우리가 먼저 접촉할 이유는 없겠군.
모두에게 그 녀석이 떠날 때까지 외출하지 말라고 전달하고
최대한 조용히 넘어가 보자."
56,TEXT_LUCKMC106_03327_MANOFNIGHT03326_000_017,"알았어…….
하지만 그렇게 되면 토디아의 유품이……."
57,TEXT_LUCKMC106_03327_MANOFNIGHT03326_000_018,"장례식 전에 적어도 토디아의 명명석만은
되찾아 오고 싶었는데……."
58,TEXT_LUCKMC106_03327_RUNAR_000_019,"아아…… 그래서 넌 토디아가 공격당한
남쪽의 수풀까지 찾아갔던 거로군……?"
59,TEXT_LUCKMC106_03327_RYNE_000_020,저기…… 죄식자를 쓰러뜨리지 않아도 되나요……?
60,TEXT_LUCKMC106_03327_RUNAR_000_021,"그래…… 그냥 졸개라면 전력에 따라 다르겠지만
사람들을 죄식자로 만들 가능성이 있는 놈이라면
전투 자체를 피하는 게 최선이니까."
61,TEXT_LUCKMC106_03327_RYNE_000_022,"하지만 방금 '유품'이라고……
무슨 사정이 있는 건 아닌가요……?"
62,TEXT_LUCKMC106_03327_MANOFNIGHT03326_000_023,"얼마 전 그 남쪽 수풀에 들풀을 캐러 갔던,
토디아라는 동료가 죄식자에게 습격을 당했거든……."
63,TEXT_LUCKMC106_03327_MANOFNIGHT03326_000_024,"우리가 달려갔을 때는 이미
유품이라고 할 만한 물건은 남아 있지 않았는데
그녀가 하던 목걸이의 가죽 끈이 끊어진 채 떨어져 있더라고."
64,TEXT_LUCKMC106_03327_MANOFNIGHT03326_000_025,"원래 그 목걸이에는 명명석이라고……
'밤의 주민'이 태어나 이름이 지어질 때 받아서
평생 지니고 다니는 특별한 돌이 달려 있거든."
65,TEXT_LUCKMC106_03327_MANOFNIGHT03326_000_026,"그래서 곧 다가올 토디아의 장례식 전에
어떻게든 그 돌만이라도 찾아주고 싶었는데……."
66,TEXT_LUCKMC106_03327_RYNE_000_027,"……그 돌을 찾아오는 역할을
제게 맡겨 주실 수 없을까요……?"
67,TEXT_LUCKMC106_03327_RYNE_000_028,"빛의 가호…… 아, 저기……
저는 죄식자로 잘 변하지 않는 체질이에요…… 그러니까……!"
68,TEXT_LUCKMC106_03327_RUNAR_000_029,"그러고 보니 누님이
당신을 '민필리아'라고 부르던데……
혹시 진짜 지금의 '민필리아'야?"
69,TEXT_LUCKMC106_03327_RUNAR_000_030,"이럴 수가……
그렇다면 정말 부탁해도 될까……?
하지만 이렇게 작은 아이인데 괜찮을지……."
70,TEXT_LUCKMC106_03327_RYNE_000_031,"못 미더우실지도 모르지만 저는……!
여러분과 여러분의 신앙이 훌륭하다고 생각했어요.
그러니 제가 할 수도 있는 일이라면 해보고 싶어요."
71,TEXT_LUCKMC106_03327_RUNAR_000_032,"……알았어.
하지만 무리하지는 않았으면 좋겠어.
위험해지면 우선 자기 자신부터 지켜."
72,TEXT_LUCKMC106_03327_RYNE_000_033,"Player Player 씨, 전 다녀올게요.
저기…… 만약 그 사이에 산크레드가 돌아오면……."
73,TEXT_LUCKMC106_03327_Q1_000_000,뭐라고 하시겠습니까?
74,TEXT_LUCKMC106_03327_A1_000_001,민필리아 혼자 가게 할 수는 없어
75,TEXT_LUCKMC106_03327_A1_000_002,산크레드를 상대하는 게 더 귀찮아……
76,TEXT_LUCKMC106_03327_RYNE_000_034,"감사합니다……!
잘 지도해 주세요……!"
77,TEXT_LUCKMC106_03327_RYNE_000_035,"죄, 죄송해요……!
그럼 같이 가 주시겠다는 건가요……?"
78,TEXT_LUCKMC106_03327_RYNE_000_036,……가…… 감사합니다!
79,TEXT_LUCKMC106_03327_RUNAR_000_037,"토디아의 명명석은 짙은 녹색 비취야.
부디…… 정말로 조심해라."
80,TEXT_LUCKMC106_03327_RUNAR_000_040,"정말로 무리하면 안 돼.
토디아의 명명석을 찾게 되면 물론 기쁘겠지만
그만큼 당신들도 무사하기를 바라고 있어."
81,TEXT_LUCKMC106_03327_MANOFNIGHT03326_000_045,"설마 그 '민필리아'가 왔을 줄이야…….
미안하지만 부탁한다……!"
82,TEXT_LUCKMC106_03327_RYNE_000_050,이 근처가 맞는 것 같은데요…….
83,TEXT_LUCKMC106_03327_RYNE_000_060,"찾았어요, 죄식자예요……!"
84,TEXT_LUCKMC106_03327_RYNE_000_061,죄식자는 둘인 것 같아요…….
85,TEXT_LUCKMC106_03327_RYNE_000_062,"계속 저기에 있다면
들키지 않고 돌을 찾기는 어렵겠어요…….
죄식자부터 먼저 쓰러뜨리는 게…… 나을 것 같아요."
86,TEXT_LUCKMC106_03327_Q2_000_000,뭐라고 하시겠습니까?
87,TEXT_LUCKMC106_03327_A2_000_001,"좋아, 일단 돌격하자!"
88,TEXT_LUCKMC106_03327_A2_000_002,둘로 갈라지자
89,TEXT_LUCKMC106_03327_A2_000_003,어떤 작전이 좋겠어?
90,TEXT_LUCKMC106_03327_RYNE_000_063,네!? 작전을 세우지 않아도 되나요……?
91,TEXT_LUCKMC106_03327_RYNE_000_064,"하지만…… 맞는 말이네요…….
적은 둘뿐이니까 필요한 건 용기와…… 기세!"
92,TEXT_LUCKMC106_03327_RYNE_000_065,"제가 한쪽을 맡을게요!
Player Player 씨는 나머지 한쪽을……
잘 부탁드릴게요……!"
93,TEXT_LUCKMC106_03327_RYNE_000_066,"알겠어요.
그럼 한쪽은 제가 유인해서 쓰러뜨릴 테니
Player Player 씨는 나머지 한쪽을……!"
94,TEXT_LUCKMC106_03327_RYNE_000_067,"저기…… 장소가 비교적 넓은 편이긴 해도
소란을 피우면 공격해 올 짐승도 많으니까
싸울 수 있는 장소는 한정적일 것 같아요……."
95,TEXT_LUCKMC106_03327_RYNE_000_068,"그러니까 저와 Player Player 씨가
각자 죄식자를 하나씩 유인해서
서로 떨어진 곳에서 싸우는 게 좋지 않을까요……."
96,TEXT_LUCKMC106_03327_RYNE_000_069,"……네!
그럼 그 작전으로 가도록 해요."
97,TEXT_LUCKMC106_03327_RYNE_000_080,"아…… Player Player 씨…….
이쪽 죄식자는 쓰러뜨렸어요…………."
98,TEXT_LUCKMC106_03327_RYNE_000_081,"그런데…… 조금 다쳤어요…….
저 혼자 쓰러뜨려야 한다고 생각하니 손이 떨려서
정말…… 이럴 생각은……."
99,TEXT_LUCKMC106_03327_RYNE_000_082,"으윽…… 전 괜찮아요……!
토디아 씨의 명명석을 찾아보기로 해요."
100,TEXT_LUCKMC106_03327_RYNE_000_083,"비취……라고 했죠?
저는 저쪽 덤불을 보고 올게요."
101,TEXT_LUCKMC106_03327_RYNE_000_090,어디 보자…… 이 안에 있으려나…….
102,TEXT_LUCKMC106_03327_SYSTEM_000_100,……이곳에는  없는 것 같다.
103,TEXT_LUCKMC106_03327_SYSTEM_000_101,……나뭇잎 속에서  발견했다!
