key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZG013_03498_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>특수 규칙:  레벨 보정<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
타래 마을에 있는 마인번은 자기 대신 풍차 정비를 부탁하고 싶은 듯하다."
1,"TEXT_LUCKZG013_03498_SEQ_01",""
2,"TEXT_LUCKZG013_03498_SEQ_02",""
3,"TEXT_LUCKZG013_03498_SEQ_03",""
4,"TEXT_LUCKZG013_03498_SEQ_04",""
5,"TEXT_LUCKZG013_03498_SEQ_05",""
6,"TEXT_LUCKZG013_03498_SEQ_06",""
7,"TEXT_LUCKZG013_03498_SEQ_07",""
8,"TEXT_LUCKZG013_03498_SEQ_08",""
9,"TEXT_LUCKZG013_03498_SEQ_09",""
10,"TEXT_LUCKZG013_03498_SEQ_10",""
11,"TEXT_LUCKZG013_03498_SEQ_11",""
12,"TEXT_LUCKZG013_03498_SEQ_12",""
13,"TEXT_LUCKZG013_03498_SEQ_13",""
14,"TEXT_LUCKZG013_03498_SEQ_14",""
15,"TEXT_LUCKZG013_03498_SEQ_15",""
16,"TEXT_LUCKZG013_03498_SEQ_16",""
17,"TEXT_LUCKZG013_03498_SEQ_17",""
18,"TEXT_LUCKZG013_03498_SEQ_18",""
19,"TEXT_LUCKZG013_03498_SEQ_19",""
20,"TEXT_LUCKZG013_03498_SEQ_20",""
21,"TEXT_LUCKZG013_03498_SEQ_21",""
22,"TEXT_LUCKZG013_03498_SEQ_22",""
23,"TEXT_LUCKZG013_03498_SEQ_23",""
24,"TEXT_LUCKZG013_03498_TODO_00","<Sheet(BNpcName,8557,0)/><14>FF1302280FFF09424E70634E616D65F2216D0103FF04EBA19CFF07EC9CBCEBA19C</14>부터 <Sheet(EventItem,2002742,0)/> 입수"
25,"TEXT_LUCKZG013_03498_TODO_01","마인번에게 <Sheet(EventItem,2002742,0)/> 전달"
26,"TEXT_LUCKZG013_03498_TODO_02","<Sheet(EObj,2010443,0)/>에 <Sheet(EventItem,2002743,0)/> 사용"
27,"TEXT_LUCKZG013_03498_TODO_03","마인번에게 보고"
28,"TEXT_LUCKZG013_03498_TODO_04",""
29,"TEXT_LUCKZG013_03498_TODO_05",""
