key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZH103_03527_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>특수 규칙:  레벨 보정<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
옛 누뵈이 광산의 키 사트는 광석을 자세히 조사하고 싶은 듯하다."
1,"TEXT_LUCKZH103_03527_SEQ_01","※ 이 퀘스트에는 <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 레벨 보정<13>FF2A024804F201FC03024904F201FD03EE82BE0249020103024802010320EBA088EBB2A820EBB3B4ECA095FF04EAB080FF04EC9DB4</13>
　설정되어 있습니다.

키 사트와 대화했다. 채굴한 광석을 조사하려면 일단 타래 마을로 돌아가야 한다고 한다. 아므 아랭의 타래 마을에 있는 '키 사트'와 대화하자."
2,"TEXT_LUCKZH103_03527_SEQ_02","키 사트와 대화했다. 그의 말로는 채굴한 광석은 완벽한 루타브 광석은 아니었다고 한다. 타래 마을의 '키 사트'에게 감정 표현 '격려'를 사용하자."
3,"TEXT_LUCKZH103_03527_SEQ_03","키 사트를 격려했다. 모험가의 조언에 따라 호르수르의 이야기를 들으러 가 보기로 했다. 타래 마을에 있는 '호르수르'와 대화하자."
4,"TEXT_LUCKZH103_03527_SEQ_04","호르수르와 대화했다. 그에게 마을만의 방식과 100년 전의 폐광에 대해 들었다. 타래 마을의 '키 사트'와 대화하자."
5,"TEXT_LUCKZH103_03527_SEQ_05","키 사트와 대화했다. 그는 타래 마을의 방식에 대해 몰랐던 것을 반성한 모양이다. 그의 시굴을 끝까지 도와주도록 하자."
6,"TEXT_LUCKZH103_03527_SEQ_06",""
7,"TEXT_LUCKZH103_03527_SEQ_07",""
8,"TEXT_LUCKZH103_03527_SEQ_08",""
9,"TEXT_LUCKZH103_03527_SEQ_09",""
10,"TEXT_LUCKZH103_03527_SEQ_10",""
11,"TEXT_LUCKZH103_03527_SEQ_11",""
12,"TEXT_LUCKZH103_03527_SEQ_12",""
13,"TEXT_LUCKZH103_03527_SEQ_13",""
14,"TEXT_LUCKZH103_03527_SEQ_14",""
15,"TEXT_LUCKZH103_03527_SEQ_15",""
16,"TEXT_LUCKZH103_03527_SEQ_16",""
