key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZJ014_03577_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>특수 규칙:  레벨 보정<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
온도 바다웅덩이에 있는 사우쉬 콜은 초조한 모양이다."
1,"TEXT_LUCKZJ014_03577_SEQ_01",""
2,"TEXT_LUCKZJ014_03577_SEQ_02",""
3,"TEXT_LUCKZJ014_03577_SEQ_03",""
4,"TEXT_LUCKZJ014_03577_SEQ_04",""
5,"TEXT_LUCKZJ014_03577_SEQ_05",""
6,"TEXT_LUCKZJ014_03577_SEQ_06",""
7,"TEXT_LUCKZJ014_03577_SEQ_07",""
8,"TEXT_LUCKZJ014_03577_SEQ_08",""
9,"TEXT_LUCKZJ014_03577_SEQ_09",""
10,"TEXT_LUCKZJ014_03577_SEQ_10",""
11,"TEXT_LUCKZJ014_03577_SEQ_11",""
12,"TEXT_LUCKZJ014_03577_SEQ_12",""
13,"TEXT_LUCKZJ014_03577_SEQ_13",""
14,"TEXT_LUCKZJ014_03577_SEQ_14",""
15,"TEXT_LUCKZJ014_03577_SEQ_15",""
16,"TEXT_LUCKZJ014_03577_SEQ_16",""
17,"TEXT_LUCKZJ014_03577_SEQ_17",""
18,"TEXT_LUCKZJ014_03577_SEQ_18",""
19,"TEXT_LUCKZJ014_03577_SEQ_19",""
20,"TEXT_LUCKZJ014_03577_SEQ_20",""
21,"TEXT_LUCKZJ014_03577_SEQ_21",""
22,"TEXT_LUCKZJ014_03577_SEQ_22",""
23,"TEXT_LUCKZJ014_03577_SEQ_23",""
24,"TEXT_LUCKZJ014_03577_TODO_00","체력이 떨어진 마물에게 <Sheet(EventItem,2002616,0)/><13>FF15022811FF0A4576656E744974656DF61E8EB80103FF04EBA5BCFF04EC9D84</13> 사용해서 포획"
25,"TEXT_LUCKZJ014_03577_TODO_01","사우쉬 콜에게 <Sheet(EventItem,2002617,0)/> 전달"
26,"TEXT_LUCKZJ014_03577_TODO_02",""
27,"TEXT_LUCKZJ014_03577_TODO_03",""
28,"TEXT_LUCKZJ014_03577_TODO_04",""
29,"TEXT_LUCKZJ014_03577_TODO_05",""
30,"TEXT_LUCKZJ014_03577_TODO_06",""
