key,0,1
#,,
int32,str,str
0,"TEXT_LUCKBA451_03628_SEQ_00","모르드 수크에 있는 케리그는 테이너가 걱정되는 모양이다."
1,"TEXT_LUCKBA451_03628_SEQ_01","테이너가 자꾸만 불안해하고 있다고 한다. 모르드 수크에서 '테이너'와 대화하자."
2,"TEXT_LUCKBA451_03628_SEQ_02","테이너는 자신의 실수로 모험가와 케리그가 희생되지는 않을까 불안했던 모양이다. 모험가가 말을 건네자 테이너는 기운을 되찾았고, 혼자 설 수 있게 된 모습을 보여주고 싶다고 하고는 돌아갔다. 모르드 수크에서 '케리그'와 대화하자."
3,"TEXT_LUCKBA451_03628_SEQ_03","세 명 모두 준비를 마쳤다. 아므 아랭 '호박석 산맥 중부'에서 '테이너'와 대화하자."
4,"TEXT_LUCKBA451_03628_SEQ_04","테이너의 '공허'에 이끌려서 나타난 프로네시스를 처치했다. 아므 아랭에서 프로네시스의 마지막을 지켜보자."
5,"TEXT_LUCKBA451_03628_SEQ_05","나타난 나일베르트의 기억에 테이너가 작별 인사를 전했다. 호박석 산맥 중부에서 '테이너'와 대화하자."
6,"TEXT_LUCKBA451_03628_SEQ_06","테이너와 대화했다. 모르드 수크로 돌아가서 '케리그'와 대화하자."
7,"TEXT_LUCKBA451_03628_SEQ_07","케리그와 테이너는 이후에도 행동을 함께하게 되었다. 크리스타리움에 있는 헤매는 계단 식당에서 '케리그'와 대화하자."
8,"TEXT_LUCKBA451_03628_SEQ_08","케리그가 감사 인사를 전했다. 그 두 사람이라면 현상금 사냥꾼으로서 앞으로도 이 세계에서 씩씩하게 살아갈 것이다."
9,"TEXT_LUCKBA451_03628_SEQ_09",""
10,"TEXT_LUCKBA451_03628_SEQ_10",""
11,"TEXT_LUCKBA451_03628_SEQ_11",""
12,"TEXT_LUCKBA451_03628_SEQ_12",""
13,"TEXT_LUCKBA451_03628_SEQ_13",""
14,"TEXT_LUCKBA451_03628_SEQ_14",""
15,"TEXT_LUCKBA451_03628_SEQ_15",""
16,"TEXT_LUCKBA451_03628_SEQ_16",""
17,"TEXT_LUCKBA451_03628_SEQ_17",""
18,"TEXT_LUCKBA451_03628_SEQ_18",""
19,"TEXT_LUCKBA451_03628_SEQ_19",""
20,"TEXT_LUCKBA451_03628_SEQ_20",""
