key,0,1
#,,
int32,str,str
0,"TEXT_LUCKMD103_03608_SEQ_00","오스탈 엄명성에 있는 라이나는 조용히 하늘을 바라보고 있다."
1,"TEXT_LUCKMD103_03608_SEQ_01",""
2,"TEXT_LUCKMD103_03608_SEQ_02",""
3,"TEXT_LUCKMD103_03608_SEQ_03",""
4,"TEXT_LUCKMD103_03608_SEQ_04",""
5,"TEXT_LUCKMD103_03608_SEQ_05",""
6,"TEXT_LUCKMD103_03608_SEQ_06",""
7,"TEXT_LUCKMD103_03608_SEQ_07",""
8,"TEXT_LUCKMD103_03608_SEQ_08",""
9,"TEXT_LUCKMD103_03608_SEQ_09",""
10,"TEXT_LUCKMD103_03608_SEQ_10",""
11,"TEXT_LUCKMD103_03608_SEQ_11",""
12,"TEXT_LUCKMD103_03608_SEQ_12",""
13,"TEXT_LUCKMD103_03608_SEQ_13",""
14,"TEXT_LUCKMD103_03608_SEQ_14",""
15,"TEXT_LUCKMD103_03608_SEQ_15",""
16,"TEXT_LUCKMD103_03608_SEQ_16",""
17,"TEXT_LUCKMD103_03608_SEQ_17",""
18,"TEXT_LUCKMD103_03608_SEQ_18",""
19,"TEXT_LUCKMD103_03608_SEQ_19",""
20,"TEXT_LUCKMD103_03608_SEQ_20",""
21,"TEXT_LUCKMD103_03608_SEQ_21",""
22,"TEXT_LUCKMD103_03608_SEQ_22",""
23,"TEXT_LUCKMD103_03608_SEQ_23",""
24,"TEXT_LUCKMD103_03608_TODO_00","크리스타리움에서 산크레드와 대화"
25,"TEXT_LUCKMD103_03608_TODO_01","민필리아 찾기"
26,"TEXT_LUCKMD103_03608_TODO_02","민필리아에게 '/쿡쿡' 사용"
27,"TEXT_LUCKMD103_03608_TODO_03","<Sheet(EObj,2009899,0)/>에서 <Sheet(EventItem,2002555,0)/> 입수"
28,"TEXT_LUCKMD103_03608_TODO_04","쉐사밀에게 <Sheet(EventItem,2002555,0)/> 전달"
29,"TEXT_LUCKMD103_03608_TODO_05",""
30,"TEXT_LUCKMD103_03608_TODO_06",""
31,"TEXT_LUCKMD103_03608_TODO_07",""
32,"TEXT_LUCKMD103_03608_TODO_08",""
33,"TEXT_LUCKMD103_03608_TODO_09",""
34,"TEXT_LUCKMD103_03608_TODO_10",""
