key,0,1
#,,
int32,str,str
0,"TEXT_LUCKMG104_03676_SEQ_00","여행길 여관에 있는 베크 러그는 자신의 생각을 들려주고 싶은 듯하다."
1,"TEXT_LUCKMG104_03676_SEQ_01",""
2,"TEXT_LUCKMG104_03676_SEQ_02",""
3,"TEXT_LUCKMG104_03676_SEQ_03",""
4,"TEXT_LUCKMG104_03676_SEQ_04",""
5,"TEXT_LUCKMG104_03676_SEQ_05",""
6,"TEXT_LUCKMG104_03676_SEQ_06",""
7,"TEXT_LUCKMG104_03676_SEQ_07",""
8,"TEXT_LUCKMG104_03676_SEQ_08",""
9,"TEXT_LUCKMG104_03676_SEQ_09",""
10,"TEXT_LUCKMG104_03676_SEQ_10",""
11,"TEXT_LUCKMG104_03676_SEQ_11",""
12,"TEXT_LUCKMG104_03676_SEQ_12",""
13,"TEXT_LUCKMG104_03676_SEQ_13",""
14,"TEXT_LUCKMG104_03676_SEQ_14",""
15,"TEXT_LUCKMG104_03676_SEQ_15",""
16,"TEXT_LUCKMG104_03676_SEQ_16",""
17,"TEXT_LUCKMG104_03676_SEQ_17",""
18,"TEXT_LUCKMG104_03676_SEQ_18",""
19,"TEXT_LUCKMG104_03676_SEQ_19",""
20,"TEXT_LUCKMG104_03676_SEQ_20",""
21,"TEXT_LUCKMG104_03676_SEQ_21",""
22,"TEXT_LUCKMG104_03676_SEQ_22",""
23,"TEXT_LUCKMG104_03676_SEQ_23",""
24,"TEXT_LUCKMG104_03676_TODO_00","베크 러그와 대화"
25,"TEXT_LUCKMG104_03676_TODO_01","타래 마을에 있는 마그누스와 대화"
26,"TEXT_LUCKMG104_03676_TODO_02","비란 대광산의 <Sheet(EObj,2010809,0)/><13>FF1002280CFF05454F626AF61EAEB90103FF04EBA5BCFF04EC9D84</13> 조사한 후, <Sheet(EventItem,2002905,0)/> 입수"
27,"TEXT_LUCKMG104_03676_TODO_03","베크 러그에게 <Sheet(EventItem,2002905,0)/> 전달"
28,"TEXT_LUCKMG104_03676_TODO_04","알리제와 대화"
29,"TEXT_LUCKMG104_03676_TODO_05",""
30,"TEXT_LUCKMG104_03676_TODO_06",""
31,"TEXT_LUCKMG104_03676_TODO_07",""
32,"TEXT_LUCKMG104_03676_TODO_08",""
33,"TEXT_LUCKMG104_03676_TODO_09",""
