key,0,1
#,,
int32,str,str
0,"TEXT_BANPIX122_03710_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>특수 규칙:  레벨 보정(직업 변경 제한)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
※ 이 퀘스트는 수락 시점의 직업으로만 진행할 수 있습니다.

리다 란에 있는 윈 니는 재미있는 일이 생각난 듯하다."
1,"TEXT_BANPIX122_03710_SEQ_01",""
2,"TEXT_BANPIX122_03710_SEQ_02",""
3,"TEXT_BANPIX122_03710_SEQ_03",""
4,"TEXT_BANPIX122_03710_SEQ_04",""
5,"TEXT_BANPIX122_03710_SEQ_05",""
6,"TEXT_BANPIX122_03710_SEQ_06",""
7,"TEXT_BANPIX122_03710_SEQ_07",""
8,"TEXT_BANPIX122_03710_SEQ_08",""
9,"TEXT_BANPIX122_03710_SEQ_09",""
10,"TEXT_BANPIX122_03710_SEQ_10",""
11,"TEXT_BANPIX122_03710_SEQ_11",""
12,"TEXT_BANPIX122_03710_SEQ_12",""
13,"TEXT_BANPIX122_03710_SEQ_13",""
14,"TEXT_BANPIX122_03710_SEQ_14",""
15,"TEXT_BANPIX122_03710_SEQ_15",""
16,"TEXT_BANPIX122_03710_SEQ_16",""
17,"TEXT_BANPIX122_03710_SEQ_17",""
18,"TEXT_BANPIX122_03710_SEQ_18",""
19,"TEXT_BANPIX122_03710_SEQ_19",""
20,"TEXT_BANPIX122_03710_SEQ_20",""
21,"TEXT_BANPIX122_03710_SEQ_21",""
22,"TEXT_BANPIX122_03710_SEQ_22",""
23,"TEXT_BANPIX122_03710_SEQ_23",""
24,"TEXT_BANPIX122_03710_TODO_00","푸카에게 <Sheet(EventItem,2002945,0)/><13>FF15022811FF0A4576656E744974656DF61E90010103FF04EBA5BCFF04EC9D84</13> 써서 푸카 포획"
25,"TEXT_BANPIX122_03710_TODO_01","푸카에게 <Sheet(EventItem,2002945,0)/><13>FF15022811FF0A4576656E744974656DF61E90010103FF04EBA5BCFF04EC9D84</13> 써서 또 푸카를 포획"
26,"TEXT_BANPIX122_03710_TODO_02","윈 니에게 <Sheet(EventItem,2002946,0)/> 전달"
27,"TEXT_BANPIX122_03710_TODO_03",""
28,"TEXT_BANPIX122_03710_TODO_04",""
