key,0,1
#,,
int32,str,str
0,"TEXT_LUCKRA204_03790_SEQ_00","무의 대지에 있는 산크레드는 작전의 성과를 느끼고 있는 듯하다."
1,"TEXT_LUCKRA204_03790_SEQ_01","산크레드와 대화했다. 마지막으로 남은 것은 얼음속성이다. 무의 대지에서 에덴 중추로 이동하여 '위리앙제'와 대화하자."
2,"TEXT_LUCKRA204_03790_SEQ_02","위리앙제와 대화했다. 얼음속성의 활성화가 완료된다 해도 세계가 금방 원래대로 돌아가진 않는 모양이다. 그 사실에 불만을 느낀 가이아는 에덴 갑판으로 뛰쳐나가 버린다. 그녀를 쫓아간 모험가가 목격한 것은 수많은 죄식자들에게 습격을 당해 정신을 잃은 그녀의 모습이었다. 겨우 가이아를 보호할 수 있었지만, 아직 밖에는 수많은 죄식자들이 우글거리고 있다. 에덴 중추에 있는 '린'과 대화하자."
3,"TEXT_LUCKRA204_03790_SEQ_03","린과 대화했다. 가이아를 노리고 습격해온 수많은 죄식자들은 모험가가 요격하기로 했다. 준비를 철저히 마치고 가이아를 노리는 죄식자들을 격파하자!

※ '임무 찾기'를 통해, 본 임무의 공략에 참가할 수 있습니다."
4,"TEXT_LUCKRA204_03790_SEQ_04","가이아를 덮친 수많은 죄식자들을 격파했다. 그녀의 몸 상태가 걱정된다. 에덴 중추에 있는 '린'과 대화하자."
5,"TEXT_LUCKRA204_03790_SEQ_05","린과 대화했다. 무사히 가이아는 의식을 되찾았고 위협은 사라졌다. 기분 탓인지 가이아의 표정이 조금 부드러워진 것 같다. 이제 다시 얼음속성의 활성화를 하도록 하자."
6,"TEXT_LUCKRA204_03790_SEQ_06",""
7,"TEXT_LUCKRA204_03790_SEQ_07",""
8,"TEXT_LUCKRA204_03790_SEQ_08",""
9,"TEXT_LUCKRA204_03790_SEQ_09",""
10,"TEXT_LUCKRA204_03790_SEQ_10",""
11,"TEXT_LUCKRA204_03790_SEQ_11",""
12,"TEXT_LUCKRA204_03790_SEQ_12",""
13,"TEXT_LUCKRA204_03790_SEQ_13",""
14,"TEXT_LUCKRA204_03790_SEQ_14",""
15,"TEXT_LUCKRA204_03790_SEQ_15",""
16,"TEXT_LUCKRA204_03790_SEQ_16",""
17,"TEXT_LUCKRA204_03790_SEQ_17",""
