key,0,1
#,,
int32,str,str
0,"TEXT_LUCKHT001_03848_SEQ_00","구름안개 거리에 있는 기공방 기술자는 실력 좋은 장인을 찾고 있는 듯하다."
1,"TEXT_LUCKHT001_03848_SEQ_01","하늘강철 기공방에서 장인을 찾고 있다고 한다. 이슈가르드 하늘강철 기공방 부근에서 기술자 '네유마르'와 대화하자."
2,"TEXT_LUCKHT001_03848_SEQ_02","네유마르는 공방에서 발견한 도구 '하늘강철 도구'를 개량해서 더 많은 성능을 넣고 싶다고 한다. 공방의 기술자들과 협력하여 도구를 개량하자."
3,"TEXT_LUCKHT001_03848_SEQ_03",""
4,"TEXT_LUCKHT001_03848_SEQ_04",""
5,"TEXT_LUCKHT001_03848_SEQ_05",""
6,"TEXT_LUCKHT001_03848_SEQ_06",""
7,"TEXT_LUCKHT001_03848_SEQ_07",""
8,"TEXT_LUCKHT001_03848_SEQ_08",""
9,"TEXT_LUCKHT001_03848_SEQ_09",""
10,"TEXT_LUCKHT001_03848_SEQ_10",""
11,"TEXT_LUCKHT001_03848_SEQ_11",""
12,"TEXT_LUCKHT001_03848_SEQ_12",""
13,"TEXT_LUCKHT001_03848_SEQ_13",""
14,"TEXT_LUCKHT001_03848_SEQ_14",""
15,"TEXT_LUCKHT001_03848_SEQ_15",""
16,"TEXT_LUCKHT001_03848_SEQ_16",""
17,"TEXT_LUCKHT001_03848_SEQ_17",""
18,"TEXT_LUCKHT001_03848_SEQ_18",""
19,"TEXT_LUCKHT001_03848_SEQ_19",""
20,"TEXT_LUCKHT001_03848_SEQ_20",""
21,"TEXT_LUCKHT001_03848_SEQ_21",""
22,"TEXT_LUCKHT001_03848_SEQ_22",""
23,"TEXT_LUCKHT001_03848_SEQ_23",""
24,"TEXT_LUCKHT001_03848_TODO_00","하늘강철 기공방 부근에 있는 네유마르와 대화"
25,"TEXT_LUCKHT001_03848_TODO_01",""
26,"TEXT_LUCKHT001_03848_TODO_02",""
27,"TEXT_LUCKHT001_03848_TODO_03",""
28,"TEXT_LUCKHT001_03848_TODO_04",""
29,"TEXT_LUCKHT001_03848_TODO_05",""
30,"TEXT_LUCKHT001_03848_TODO_06",""
31,"TEXT_LUCKHT001_03848_TODO_07",""
32,"TEXT_LUCKHT001_03848_TODO_08",""
