key,0,1
#,,
int32,str,str
0,"TEXT_LUCKSA001_03834_SEQ_00","코가네 상점가에 있는 케이텐은 모험가를 찾던 사람을 본 모양이다."
1,"TEXT_LUCKSA001_03834_SEQ_01","행콕이 모험가를 찾고 있었다고 한다. 쿠가네의 울다하 무역상관 응접실에서 '행콕'과 대화하자."
2,"TEXT_LUCKSA001_03834_SEQ_02","보즈야 저항군이 모험가의 조력을 필요로 하고 있다고 한다. 얀샤의 열사암에 있는 '도마 밀사'와 대화하자."
3,"TEXT_LUCKSA001_03834_SEQ_03","히엔이 상세한 내용을 설명해줄 거라고 한다. 얀샤의 옷자락 다리 부근에서 '도마 밀사'와 대화하자."
4,"TEXT_LUCKSA001_03834_SEQ_04","히엔에게서 보즈야 저항군의 마르샤크를 소개받았다. 그들은 과거 보즈야 여왕의 친위대 '군힐드의 검'이 휘두른 '고대의 무기'를 부활시킬 계획 중이라고 한다. 얀샤의 옷자락 다리 부근에서 '마르샤크'와 대화하자."
5,"TEXT_LUCKSA001_03834_SEQ_05","보즈야 저항군이 주둔하고 있는 땅까지는 도마 도읍지에서 비공정으로 갈 수 있다고 한다. 마르샤크와 함께 저항군을 만나러 가자."
6,"TEXT_LUCKSA001_03834_SEQ_06",""
7,"TEXT_LUCKSA001_03834_SEQ_07",""
8,"TEXT_LUCKSA001_03834_SEQ_08",""
9,"TEXT_LUCKSA001_03834_SEQ_09",""
10,"TEXT_LUCKSA001_03834_SEQ_10",""
11,"TEXT_LUCKSA001_03834_SEQ_11",""
12,"TEXT_LUCKSA001_03834_SEQ_12",""
13,"TEXT_LUCKSA001_03834_SEQ_13",""
14,"TEXT_LUCKSA001_03834_SEQ_14",""
15,"TEXT_LUCKSA001_03834_SEQ_15",""
16,"TEXT_LUCKSA001_03834_SEQ_16",""
17,"TEXT_LUCKSA001_03834_SEQ_17",""
18,"TEXT_LUCKSA001_03834_SEQ_18",""
19,"TEXT_LUCKSA001_03834_SEQ_19",""
20,"TEXT_LUCKSA001_03834_SEQ_20",""
21,"TEXT_LUCKSA001_03834_SEQ_21",""
22,"TEXT_LUCKSA001_03834_SEQ_22",""
23,"TEXT_LUCKSA001_03834_SEQ_23",""
24,"TEXT_LUCKSA001_03834_TODO_00","울다하 무역상관 응접실에 있는 행콕과 대화"
