key,0,1
#,,
int32,str,str
0,"TEXT_JOBAOZ700_03993_SEQ_00","쿠가네에 있는 마틴은 호객 행위에 익숙해진 모양이다."
1,"TEXT_JOBAOZ700_03993_SEQ_01","마틴과 대화하고 있는데 진전이 없는 조사에 속을 태우던 로이스가 나타났다. 그녀는 누티바 분티바와 만날 약속을 했다고 한다. 쿠가네 외국인 거리 성문 앞에 있는 '누티바 분티바'와 대화하자."
2,"TEXT_JOBAOZ700_03993_SEQ_02","누티바 분티바와 대화해 보니 그는 약혼하기 위한 돈이 필요해서 카게야마의 협박을 받고 가면 무투회를 모방하라는 강요를 받은 것이었다. 카게야마와 황금 두건이 나타나자 로이스는 가면 무투회에서 모험가와 황금 두건이 대결해서 결판을 내자고 제안하고, 모두 다 같이 울다하로 떠난다. 울다하의 밀바네스 예배당 부근에서 '로이스'와 대화하자."
3,"TEXT_JOBAOZ700_03993_SEQ_03","로이스와 대화한 뒤 청가면의 새로운 의상을 입고 흉내쟁이 고고와의 대결 예고에 출연했다. 밀바네스 예배당 근처에 있는 '로이스'와 대화하자."
4,"TEXT_JOBAOZ700_03993_SEQ_04","로이스와 대화했다. 청마도사의 의지를 보여주기 위해 가면 무투회에서 흉내쟁이 고고를 격파하자!

※ 가면 무투회 시합 31종류를 완료하면, 밀바네스 예배당 근처에 있는 마틴에게 다음 청마도사 퀘스트를 받을 수 있습니다."
5,"TEXT_JOBAOZ700_03993_SEQ_05",""
6,"TEXT_JOBAOZ700_03993_SEQ_06",""
7,"TEXT_JOBAOZ700_03993_SEQ_07",""
8,"TEXT_JOBAOZ700_03993_SEQ_08",""
9,"TEXT_JOBAOZ700_03993_SEQ_09",""
10,"TEXT_JOBAOZ700_03993_SEQ_10",""
11,"TEXT_JOBAOZ700_03993_SEQ_11",""
12,"TEXT_JOBAOZ700_03993_SEQ_12",""
13,"TEXT_JOBAOZ700_03993_SEQ_13",""
14,"TEXT_JOBAOZ700_03993_SEQ_14",""
15,"TEXT_JOBAOZ700_03993_SEQ_15",""
16,"TEXT_JOBAOZ700_03993_SEQ_16",""
17,"TEXT_JOBAOZ700_03993_SEQ_17",""
18,"TEXT_JOBAOZ700_03993_SEQ_18",""
19,"TEXT_JOBAOZ700_03993_SEQ_19",""
