#,Unknown0,Unknown1
0,TEXT_AKTKBB202_04074_SEQ_00,레무레스 사무실에 있는 드루실라는 리퍼의 증표를 장비한 모험가를 살펴보는 듯하다.
1,TEXT_AKTKBB202_04074_SEQ_01,드루실라는 모험가에게 실전의 장을 제공했다. 중부 다날란의 나무꾼의 비명 부근에서 '안기스'와 대화하자.
2,TEXT_AKTKBB202_04074_SEQ_02,안기스에게 의뢰 내용을 들었다. 나무꾼의 비명 부근에 있는 '드루실라'와 대화하자.
3,TEXT_AKTKBB202_04074_SEQ_03,드루실라와 함께 의뢰를 시작했다. 나무꾼의 비명 부근에서 목격되었다는 거대 키마이라를 쓰러뜨리자.
4,TEXT_AKTKBB202_04074_SEQ_04,"리퍼의 기술로 키마이라를 쓰러뜨렸다. 모험가의 실력을 인정한 드루실라는 리퍼의 역사를 들려주었다. 레무레스 사무실로 돌아가 '드루실라'와 대화하자.
밖으로 나왔을 경우에는 진주 거리에 있는 '레무레스 구성원'에게 말을 걸면 안내해 준다고 한다."
5,TEXT_AKTKBB202_04074_SEQ_05,"레무레스 패밀리는 망명한 갈레안족이 살아가기 위해 모인 협동 조직이라고 한다. 실력을 갈고닦으면서 다가올 요마와의 싸움에 대비하자. 

※ 리퍼의 레벨이 73 이상 되면 레무레스 사무실에 있는 드루실라에게 다음 리퍼 퀘스트를 받을 수 있습니다."
6,TEXT_AKTKBB202_04074_SEQ_06,
7,TEXT_AKTKBB202_04074_SEQ_07,
8,TEXT_AKTKBB202_04074_SEQ_08,
9,TEXT_AKTKBB202_04074_SEQ_09,
10,TEXT_AKTKBB202_04074_SEQ_10,
11,TEXT_AKTKBB202_04074_SEQ_11,
12,TEXT_AKTKBB202_04074_SEQ_12,
13,TEXT_AKTKBB202_04074_SEQ_13,
14,TEXT_AKTKBB202_04074_SEQ_14,
15,TEXT_AKTKBB202_04074_SEQ_15,
16,TEXT_AKTKBB202_04074_SEQ_16,
17,TEXT_AKTKBB202_04074_SEQ_17,
18,TEXT_AKTKBB202_04074_SEQ_18,
19,TEXT_AKTKBB202_04074_SEQ_19,
20,TEXT_AKTKBB202_04074_SEQ_20,
21,TEXT_AKTKBB202_04074_SEQ_21,
22,TEXT_AKTKBB202_04074_SEQ_22,
23,TEXT_AKTKBB202_04074_SEQ_23,
24,TEXT_AKTKBB202_04074_TODO_00,나무꾼의 비명 부근에 있는 안기스와 대화
25,TEXT_AKTKBB202_04074_TODO_01,드루실라와 대화
26,TEXT_AKTKBB202_04074_TODO_02,드루실라와 대화
27,TEXT_AKTKBB202_04074_TODO_03,레무레스 사무실에 있는 드루실라와 대화
28,TEXT_AKTKBB202_04074_TODO_04,
29,TEXT_AKTKBB202_04074_TODO_05,
30,TEXT_AKTKBB202_04074_TODO_06,
31,TEXT_AKTKBB202_04074_TODO_07,
32,TEXT_AKTKBB202_04074_TODO_08,
33,TEXT_AKTKBB202_04074_TODO_09,
34,TEXT_AKTKBB202_04074_TODO_10,
35,TEXT_AKTKBB202_04074_TODO_11,
36,TEXT_AKTKBB202_04074_TODO_12,
37,TEXT_AKTKBB202_04074_TODO_13,
38,TEXT_AKTKBB202_04074_TODO_14,
39,TEXT_AKTKBB202_04074_TODO_15,
40,TEXT_AKTKBB202_04074_TODO_16,
41,TEXT_AKTKBB202_04074_TODO_17,
42,TEXT_AKTKBB202_04074_TODO_18,
43,TEXT_AKTKBB202_04074_TODO_19,
44,TEXT_AKTKBB202_04074_TODO_20,
45,TEXT_AKTKBB202_04074_TODO_21,
46,TEXT_AKTKBB202_04074_TODO_22,
47,TEXT_AKTKBB202_04074_TODO_23,
