key,0,1
#,,
int32,str,str
0,"TEXT_LUCKMJ107_04013_SEQ_00","방파벽 회관에 있는 알피노는 크리스탈의 출처를 찾고 싶어하는 듯하다."
1,"TEXT_LUCKMJ107_04013_SEQ_01",""
2,"TEXT_LUCKMJ107_04013_SEQ_02",""
3,"TEXT_LUCKMJ107_04013_SEQ_03",""
4,"TEXT_LUCKMJ107_04013_SEQ_04",""
5,"TEXT_LUCKMJ107_04013_SEQ_05",""
6,"TEXT_LUCKMJ107_04013_SEQ_06",""
7,"TEXT_LUCKMJ107_04013_SEQ_07",""
8,"TEXT_LUCKMJ107_04013_SEQ_08",""
9,"TEXT_LUCKMJ107_04013_SEQ_09",""
10,"TEXT_LUCKMJ107_04013_SEQ_10",""
11,"TEXT_LUCKMJ107_04013_SEQ_11",""
12,"TEXT_LUCKMJ107_04013_SEQ_12",""
13,"TEXT_LUCKMJ107_04013_SEQ_13",""
14,"TEXT_LUCKMJ107_04013_SEQ_14",""
15,"TEXT_LUCKMJ107_04013_SEQ_15",""
16,"TEXT_LUCKMJ107_04013_SEQ_16",""
17,"TEXT_LUCKMJ107_04013_SEQ_17",""
18,"TEXT_LUCKMJ107_04013_SEQ_18",""
19,"TEXT_LUCKMJ107_04013_SEQ_19",""
20,"TEXT_LUCKMJ107_04013_SEQ_20",""
21,"TEXT_LUCKMJ107_04013_SEQ_21",""
22,"TEXT_LUCKMJ107_04013_SEQ_22",""
23,"TEXT_LUCKMJ107_04013_SEQ_23",""
24,"TEXT_LUCKMJ107_04013_TODO_00","오쉬온 대교에 있는 알피노와 대화"
25,"TEXT_LUCKMJ107_04013_TODO_01","알피노와 대화"
26,"TEXT_LUCKMJ107_04013_TODO_02",""
27,"TEXT_LUCKMJ107_04013_TODO_03",""
28,"TEXT_LUCKMJ107_04013_TODO_04",""
29,"TEXT_LUCKMJ107_04013_TODO_05",""
30,"TEXT_LUCKMJ107_04013_TODO_06",""
31,"TEXT_LUCKMJ107_04013_TODO_07",""
32,"TEXT_LUCKMJ107_04013_TODO_08",""
33,"TEXT_LUCKMJ107_04013_TODO_09",""
34,"TEXT_LUCKMJ107_04013_TODO_10",""
35,"TEXT_LUCKMJ107_04013_TODO_11",""
36,"TEXT_LUCKMJ107_04013_TODO_12",""
