key,0,1
#,,
int32,str,str
0,"TEXT_LUCKTA515_04048_SEQ_00",""
1,"TEXT_LUCKTA515_04048_SEQ_01",""
2,"TEXT_LUCKTA515_04048_SEQ_02",""
3,"TEXT_LUCKTA515_04048_SEQ_03",""
4,"TEXT_LUCKTA515_04048_SEQ_04",""
5,"TEXT_LUCKTA515_04048_SEQ_05",""
6,"TEXT_LUCKTA515_04048_SEQ_06",""
7,"TEXT_LUCKTA515_04048_SEQ_07",""
8,"TEXT_LUCKTA515_04048_SEQ_08",""
9,"TEXT_LUCKTA515_04048_SEQ_09",""
10,"TEXT_LUCKTA515_04048_SEQ_10",""
11,"TEXT_LUCKTA515_04048_SEQ_11",""
12,"TEXT_LUCKTA515_04048_SEQ_12",""
13,"TEXT_LUCKTA515_04048_SEQ_13",""
14,"TEXT_LUCKTA515_04048_SEQ_14",""
15,"TEXT_LUCKTA515_04048_SEQ_15",""
16,"TEXT_LUCKTA515_04048_SEQ_16",""
17,"TEXT_LUCKTA515_04048_SEQ_17",""
18,"TEXT_LUCKTA515_04048_SEQ_18",""
19,"TEXT_LUCKTA515_04048_SEQ_19",""
20,"TEXT_LUCKTA515_04048_SEQ_20",""
21,"TEXT_LUCKTA515_04048_SEQ_21",""
22,"TEXT_LUCKTA515_04048_SEQ_22",""
23,"TEXT_LUCKTA515_04048_SEQ_23",""
24,"TEXT_LUCKTA515_04048_TODO_00",""
25,"TEXT_LUCKTA515_04048_TODO_01",""
26,"TEXT_LUCKTA515_04048_TODO_02",""
27,"TEXT_LUCKTA515_04048_TODO_03",""
28,"TEXT_LUCKTA515_04048_TODO_04",""
29,"TEXT_LUCKTA515_04048_TODO_05",""
30,"TEXT_LUCKTA515_04048_TODO_06",""
31,"TEXT_LUCKTA515_04048_TODO_07",""
32,"TEXT_LUCKTA515_04048_TODO_08",""
33,"TEXT_LUCKTA515_04048_TODO_09",""
34,"TEXT_LUCKTA515_04048_TODO_10",""
35,"TEXT_LUCKTA515_04048_TODO_11",""
36,"TEXT_LUCKTA515_04048_TODO_12",""
37,"TEXT_LUCKTA515_04048_TODO_13",""
38,"TEXT_LUCKTA515_04048_TODO_14",""
39,"TEXT_LUCKTA515_04048_TODO_15",""
40,"TEXT_LUCKTA515_04048_TODO_16",""
41,"TEXT_LUCKTA515_04048_TODO_17",""
42,"TEXT_LUCKTA515_04048_TODO_18",""
43,"TEXT_LUCKTA515_04048_TODO_19",""
44,"TEXT_LUCKTA515_04048_TODO_20",""
45,"TEXT_LUCKTA515_04048_TODO_21",""
46,"TEXT_LUCKTA515_04048_TODO_22",""
47,"TEXT_LUCKTA515_04048_TODO_23",""
48,"TEXT_LUCKTA515_04048_DWARFMASTER03671_000_001","와줘서 고마워, 매번 미안하군.
코노그가 기록 매체를 보냈으니 받아줘."
49,"TEXT_LUCKTA515_04048_VILLAGERD03954_000_002","저…… 작업반장에게 상담할 게 있는데…….
사실은 글라그 때문에……."
50,"TEXT_LUCKTA515_04048_DWARFMASTER03671_000_003","왜 그래? 무슨 일 있었어?"
51,"TEXT_LUCKTA515_04048_VILLAGERD03954_000_004","조금 전에 글라그를 만나고 왔는데……
어쩐지 상태가 너무 이상해서……."
52,"TEXT_LUCKTA515_04048_VILLAGERD03954_000_005","갑자기 화를 내다가 뜬금없이 울질 않나……
그러다 아무 일 없다는 듯 다시 말을 하고……."
53,"TEXT_LUCKTA515_04048_DWARFMASTER03671_000_006","아아…… 안 그래도 그 분쟁 이후로
영 상태가 이상해……."
54,"TEXT_LUCKTA515_04048_DWARFMASTER03671_000_007","말해줘서 고마워, 그건 내가 해결해볼게.
넌 하던 일로 돌아가서 마저 해.
또 무슨 일 있으면 알려주고."
55,"TEXT_LUCKTA515_04048_DWARFMASTER03671_000_008","아직 마을 사람들은 대부분 모르고 있는 듯한데……
이대로 증상이 더 심해지면 큰일이야.
어떻게 해야 하나……."
56,"TEXT_LUCKTA515_04048_DWARFMASTER03671_000_009","그래도 여행자는 신경 쓰지 마. 이건 내가 해결할 테니
당신은 계속해서 마을의 부흥 작업을 도와줘."
57,"TEXT_LUCKTA515_04048_SYSTEM_000_010","'코노그의 연락 5'를 손에 넣었다."
58,"TEXT_LUCKTA515_04048_SYSTEM_000_011","※ 주 메뉴의 '임무 정보' 항목에 있는
'중요 아이템'에서 '정보 기록 단말'을 선택하면
'코노그의 연락'을 확인할 수 있습니다."
59,"TEXT_LUCKTA515_04048_DWARFMASTER03671_000_010","（★未使用／削除予定★）"
