key,0,1
#,,
int32,str,str
0,"TEXT_AKTKLA301_04146_SEQ_00","심사의 전당에 있는 데브로이는 속이 메슥거리는 듯하다."
1,"TEXT_AKTKLA301_04146_SEQ_01","데브로이는 어떤 식품의 시제품을 먹고 속이 메슥거리는 모양이다. 모험가도 그 시제품을 먹어 보기로 했다. 올드 샬레이안 예술의 전당에 있는 '데브로이'와 대화하자."
2,"TEXT_AKTKLA301_04146_SEQ_02","데브로이가 준 시제품을 먹어 봤더니, 과장 하나 안 보태고 정말 맛이 없었다. 그녀가 입가심으로 맛있는 요리를 대접하겠다고 한다. 올드 샬레이안 라스트 스탠드에 있는 '데브로이'와 대화하자."
3,"TEXT_AKTKLA301_04146_SEQ_03","데브로이가 사준 요리를 먹었다. 그녀는 맛없는 완전식을 맛있게 개선하고 싶다며 모험가에게 도움을 요청했다. 예술의 전당으로 돌아가서 '데브로이'와 대화하자."
4,"TEXT_AKTKLA301_04146_SEQ_04","데브로이와 대화했다. 모험가는 그녀를 도와주기로 했다. 샬레이안의 식문화를 살리기 위해서라도 동지 데브로이를 도와주자."
5,"TEXT_AKTKLA301_04146_SEQ_05",""
6,"TEXT_AKTKLA301_04146_SEQ_06",""
7,"TEXT_AKTKLA301_04146_SEQ_07",""
8,"TEXT_AKTKLA301_04146_SEQ_08",""
9,"TEXT_AKTKLA301_04146_SEQ_09",""
10,"TEXT_AKTKLA301_04146_SEQ_10",""
11,"TEXT_AKTKLA301_04146_SEQ_11",""
12,"TEXT_AKTKLA301_04146_SEQ_12",""
13,"TEXT_AKTKLA301_04146_SEQ_13",""
14,"TEXT_AKTKLA301_04146_SEQ_14",""
15,"TEXT_AKTKLA301_04146_SEQ_15",""
16,"TEXT_AKTKLA301_04146_SEQ_16",""
17,"TEXT_AKTKLA301_04146_SEQ_17",""
18,"TEXT_AKTKLA301_04146_SEQ_18",""
19,"TEXT_AKTKLA301_04146_SEQ_19",""
20,"TEXT_AKTKLA301_04146_SEQ_20",""
21,"TEXT_AKTKLA301_04146_SEQ_21",""
22,"TEXT_AKTKLA301_04146_SEQ_22",""
23,"TEXT_AKTKLA301_04146_SEQ_23",""
24,"TEXT_AKTKLA301_04146_TODO_00","데브로이와 대화"
25,"TEXT_AKTKLA301_04146_TODO_01","데브로이와 다시 대화"
