key,0,1
#,,
int32,str,str
0,"TEXT_AKTKYX201_04168_SEQ_00","올드 샬레이안에 있는 재밍웨이는 모험가를 찾는 모양이다."
1,"TEXT_AKTKYX201_04168_SEQ_01","재밍웨이는 정찰용 도우미가 구조 신호를 발신하고 있다고 말했다. 현지 조사를 하기 위해서 라비린토스의 타우마제인에서 '재밍웨이'와 합류하자."
2,"TEXT_AKTKYX201_04168_SEQ_02","재밍웨이는 먼저 현지로 이동했다. 울티마 툴레의 마도선 라그나로크에 있는 '재밍웨이'와 합류하자."
3,"TEXT_AKTKYX201_04168_SEQ_03","재밍웨이와 합류했다. 구조 신호 발신원을 찾아서 오미크론 기지로 향한 '재밍웨이'와 대화하자."
4,"TEXT_AKTKYX201_04168_SEQ_04","모험가 일행은 오미크론 기지에서 N-7000을 만나, 외성 침략을 꾀하는 병참 전략 매트릭스 '스티그마-4'가 재가동했음을 알게 되었다. 함께 힘을 모아 침략을 막기 위해, 오미크론 기지 부근에 있는 'N-7000'과 합류하자."
5,"TEXT_AKTKYX201_04168_SEQ_05","N-7000으로부터 전자 공간에서 '스티그마-4'를 격파하는 계획을 들었다. '스티그마-4'를 공략하여 작전을 성공으로 이끌자.

※ '임무 찾기'를 통해, 본 임무의 공략에 참가할 수 있습니다."
6,"TEXT_AKTKYX201_04168_SEQ_06","'스티그마-4'가 패배를 인정하면서 작전은 성공적으로 끝났다. 오미크론 기지 부근에 있는 'N-7000'과 대화하자."
7,"TEXT_AKTKYX201_04168_SEQ_07","N-7000과 대화하고 침략 계획이 동결되었음을 확인했다. 그러나 N-7000은 앞으로의 행동 지침을 상실한 듯하다. 그런 그에게 재밍웨이는 기묘한 장기 행동 계획을 세워 준다. 울티마 툴레의 생명 없는 도시에 가서 '재밍웨이'와 대화하자."
8,"TEXT_AKTKYX201_04168_SEQ_08","생명 없는 도시의 카페 공간을 확인했다. N-7000과 재밍웨이는 이곳에서 멸망 문명을 재현하면서 카페를 운영하겠다고 한다. 우주 끝에 펼쳐진 잔류물의 카페 '라스트 렘넌트'…… 그 미래는 과연 어떤 모습일까?"
9,"TEXT_AKTKYX201_04168_SEQ_09",""
10,"TEXT_AKTKYX201_04168_SEQ_10",""
11,"TEXT_AKTKYX201_04168_SEQ_11",""
