key,0,1
#,,
int32,str,str
0,"TEXT_AKTKZD001_04225_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>특수 규칙:  레벨 보정<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
테르티움 역에 있는 아마니우는 아이에게 카샤를 먹여주고 싶은 듯하다."
1,"TEXT_AKTKZD001_04225_SEQ_01",""
2,"TEXT_AKTKZD001_04225_SEQ_02",""
3,"TEXT_AKTKZD001_04225_SEQ_03",""
4,"TEXT_AKTKZD001_04225_SEQ_04",""
5,"TEXT_AKTKZD001_04225_SEQ_05",""
6,"TEXT_AKTKZD001_04225_SEQ_06",""
7,"TEXT_AKTKZD001_04225_SEQ_07",""
8,"TEXT_AKTKZD001_04225_SEQ_08",""
9,"TEXT_AKTKZD001_04225_SEQ_09",""
10,"TEXT_AKTKZD001_04225_SEQ_10",""
11,"TEXT_AKTKZD001_04225_SEQ_11",""
12,"TEXT_AKTKZD001_04225_SEQ_12",""
13,"TEXT_AKTKZD001_04225_SEQ_13",""
14,"TEXT_AKTKZD001_04225_SEQ_14",""
15,"TEXT_AKTKZD001_04225_SEQ_15",""
16,"TEXT_AKTKZD001_04225_SEQ_16",""
17,"TEXT_AKTKZD001_04225_SEQ_17",""
18,"TEXT_AKTKZD001_04225_SEQ_18",""
19,"TEXT_AKTKZD001_04225_SEQ_19",""
20,"TEXT_AKTKZD001_04225_SEQ_20",""
21,"TEXT_AKTKZD001_04225_SEQ_21",""
22,"TEXT_AKTKZD001_04225_SEQ_22",""
23,"TEXT_AKTKZD001_04225_SEQ_23",""
24,"TEXT_AKTKZD001_04225_TODO_00","<Sheet(EObj,2011972,0)/>에서 메밀 입수"
25,"TEXT_AKTKZD001_04225_TODO_01","아마니우에게 메밀 전달"
26,"TEXT_AKTKZD001_04225_TODO_02",""
27,"TEXT_AKTKZD001_04225_TODO_03",""
28,"TEXT_AKTKZD001_04225_TODO_04",""
29,"TEXT_AKTKZD001_04225_TODO_05",""
30,"TEXT_AKTKZD001_04225_TODO_06",""
31,"TEXT_AKTKZD001_04225_TODO_07",""
32,"TEXT_AKTKZD001_04225_TODO_08",""
33,"TEXT_AKTKZD001_04225_TODO_09",""
34,"TEXT_AKTKZD001_04225_TODO_10",""
