key,0,1
#,,
int32,str,str
0,"TEXT_AKTKMB116_04395_SEQ_00","깨진 유리 전초지에 있는 루키아는 모험가가 돌아와서 안도한 듯하다."
1,"TEXT_AKTKMB116_04395_SEQ_01","루키아 일행과 함께 바브일 탑 공략을 위한 작전을 확인했다. 갈레말드 열린 시민광장에 있는 '리세'와 대화하자."
2,"TEXT_AKTKMB116_04395_SEQ_02","돌격대 동료들과 합류했다. 갈레말드 엔켈라도스 마도 공장에 있는 '피핀'과 대화하자."
3,"TEXT_AKTKMB116_04395_SEQ_03","피핀은 행동 개시까지 대기하라고 했다. 엔켈라도스 마도 공장: 화물역에 있는 '<Sheet(EObj,2012112,0)/>'에서 대기하자.
엔켈라도스 마도 공장에 있는 '렌테의 눈물 파견단원'이 화물역으로 안내해 줄 것이다."
4,"TEXT_AKTKMB116_04395_SEQ_04","행동 개시 신호가 떨어졌다. 일사바드 파견단 사람들과 함께 '바브일 탑'을 공략하자.

※ 진입 지점 부근에 있는 동료들에게 말을 걸어 '파티를 편성하여 진입'을 선택하면 동료 NPC와 함께 참가할 수 있습니다.
※ 플레이어끼리 파티를 맺어 공략할 경우에는 '임무 찾기'를 통해 공략에 참가하십시오."
5,"TEXT_AKTKMB116_04395_SEQ_05","바브일 탑에서 아니마를 쓰러뜨렸다. 제노스와 파다니엘을 찾아 더 높은 층으로 가자.
밖으로 나갔을 경우, 엔켈라도스 마도 공장에 있는 '렌테의 눈물 파견단원'이 안내해 줄 것이다."
6,"TEXT_AKTKMB116_04395_SEQ_06","텔로포로이 둘을 따라잡았지만, 그들은 달로 이동하고 말았다. 바브일 탑 신의 문에 있는 알피노와 대화하자."
7,"TEXT_AKTKMB116_04395_SEQ_07","알피노와 서로의 건투를 빌었다. 조디아크의 봉인이 깨지기 전에 텔로포로이를 막자!"
8,"TEXT_AKTKMB116_04395_SEQ_08",""
9,"TEXT_AKTKMB116_04395_SEQ_09",""
10,"TEXT_AKTKMB116_04395_SEQ_10",""
11,"TEXT_AKTKMB116_04395_SEQ_11",""
12,"TEXT_AKTKMB116_04395_SEQ_12",""
13,"TEXT_AKTKMB116_04395_SEQ_13",""
14,"TEXT_AKTKMB116_04395_SEQ_14",""
15,"TEXT_AKTKMB116_04395_SEQ_15",""
