#,Unknown0,Unknown1
0,TEXT_AKTKZA102_04481_SEQ_00,"**특수 규칙:  레벨 보정**
아침이슬 숲에 있는 복슬이는 의욕이 넘친다."
1,TEXT_AKTKZA102_04481_SEQ_01,"※ 이 퀘스트에는 **** 레벨 보정
　적용됩니다.

아르케이온 보관원에 흘러들어 온 권연벌레가 신종일 가능성이 있다는 복슬이의 말에, 생물학 연구원에게 문의하기로 했다. 라비린토스 메리올 실험 농장에 있는 '생물학 연구원'과 대화하자."
2,TEXT_AKTKZA102_04481_SEQ_02,"생물학 연구원이 말하길, 권연벌레는 신종이 맞으며 소탕하려면 원산지를 알아내야 한다고 한다. 권연벌레가 붙은 제약도구를 들여온 조달꾼의 이야기를 들어 보기로 했다. 라비린토스의 사잇둘레에 있는 아르케이온 보관원 출구에서 '루가딘족 조달꾼'과 대화하자."
3,TEXT_AKTKZA102_04481_SEQ_03,"루가딘족 조달꾼의 말에 따르면, 권연벌레는 사베네어 섬에서 들어온 모양이다. 메리올 실험 농장에 있는 '생물학 연구원'과 대화하자."
4,TEXT_AKTKZA102_04481_SEQ_04,"생물학 연구원의 말을 통해, 보관원에서 사용하는 방충용 연금약은 사베네어식 연금술로 만들어졌기 때문에, 사베네어 섬이 원산지인 권연벌레가 내성을 갖고 있다는 사실이 밝혀졌다."
5,TEXT_AKTKZA102_04481_SEQ_05,
6,TEXT_AKTKZA102_04481_SEQ_06,
7,TEXT_AKTKZA102_04481_SEQ_07,
8,TEXT_AKTKZA102_04481_SEQ_08,
9,TEXT_AKTKZA102_04481_SEQ_09,
10,TEXT_AKTKZA102_04481_SEQ_10,
11,TEXT_AKTKZA102_04481_SEQ_11,
12,TEXT_AKTKZA102_04481_SEQ_12,
13,TEXT_AKTKZA102_04481_SEQ_13,
14,TEXT_AKTKZA102_04481_SEQ_14,
15,TEXT_AKTKZA102_04481_SEQ_15,
16,TEXT_AKTKZA102_04481_SEQ_16,
17,TEXT_AKTKZA102_04481_SEQ_17,
18,TEXT_AKTKZA102_04481_SEQ_18,
19,TEXT_AKTKZA102_04481_SEQ_19,
20,TEXT_AKTKZA102_04481_SEQ_20,
21,TEXT_AKTKZA102_04481_SEQ_21,
22,TEXT_AKTKZA102_04481_SEQ_22,
23,TEXT_AKTKZA102_04481_SEQ_23,
24,TEXT_AKTKZA102_04481_TODO_00,생물학 연구원과 대화
25,TEXT_AKTKZA102_04481_TODO_01,루가딘족 조달꾼과 대화
26,TEXT_AKTKZA102_04481_TODO_02,생물학 연구원과 대화
27,TEXT_AKTKZA102_04481_TODO_03,
28,TEXT_AKTKZA102_04481_TODO_04,
29,TEXT_AKTKZA102_04481_TODO_05,
30,TEXT_AKTKZA102_04481_TODO_06,
31,TEXT_AKTKZA102_04481_TODO_07,
32,TEXT_AKTKZA102_04481_TODO_08,
33,TEXT_AKTKZA102_04481_TODO_09,
34,TEXT_AKTKZA102_04481_TODO_10,
35,TEXT_AKTKZA102_04481_TODO_11,
36,TEXT_AKTKZA102_04481_TODO_12,
37,TEXT_AKTKZA102_04481_TODO_13,
38,TEXT_AKTKZA102_04481_TODO_14,
39,TEXT_AKTKZA102_04481_TODO_15,
40,TEXT_AKTKZA102_04481_TODO_16,
41,TEXT_AKTKZA102_04481_TODO_17,
42,TEXT_AKTKZA102_04481_TODO_18,
43,TEXT_AKTKZA102_04481_TODO_19,
44,TEXT_AKTKZA102_04481_TODO_20,
45,TEXT_AKTKZA102_04481_TODO_21,
46,TEXT_AKTKZA102_04481_TODO_22,
47,TEXT_AKTKZA102_04481_TODO_23,
48,TEXT_AKTKZA102_04481_NWELHITIA_100_000,"이 아이의 말을 이해할 수 있는 사람은 당신뿐…….
죄송하지만 추가로 보상을 더 드릴 테니
계속 도와주실 수 없을까요?"
49,TEXT_AKTKZA102_04481_LITTLETROLL_000_000,"우물우물…… 상황을 설명할게.
당연한 일이지만 아르케이온 보관원에서는
정기적으로 연금약을 뿌리는 등의 방충 대책을 실시하지."
50,TEXT_AKTKZA102_04481_LITTLETROLL_000_001,"하지만 내가 발견한 권연벌레는
살충 효과가 있는 연금약을 맞아도 팔팔해."
51,TEXT_AKTKZA102_04481_LITTLETROLL_000_002,"'신 에오르제아 박물지'를 비롯해, 몇몇 책도 살펴봤는데
문제의 권연벌레가 어느 품종인지 확인하지 못했어.
어쩌면 신종일지도 몰라."
52,TEXT_AKTKZA102_04481_LITTLETROLL_000_003,"일단 적의 정체를 알아야 대처법도 찾을 수 있어.
표본은 이미 내가 채취해 뒀으니까
곤충에 대해 잘 아는 전문가에게 이걸 보여 주고 정체를 알아내야 해."
