key,0,1
#,,
int32,str,str
0,"TEXT_FESPDY702_04472_SEQ_00","※이 퀘스트는 기간 한정 퀘스트입니다.

울다하에 있는 마라벨은 무척 기뻐 보인다."
1,"TEXT_FESPDY702_04472_SEQ_01","※이 퀘스트는 기간 한정 이벤트 개최 기간에만
　진행하실 수 있습니다.
　개최 기간이 끝나면 진행하실 수 없으니 주의하십시오.
　자세한 사항은 공식 홈페이지를 참조하시기 바랍니다.

마라벨과 대화했다.마라벨은 모험가가 부른 사람에게, 모험가가 생각한 이미지에 걸맞은 코디네이트를 고안해 주겠다고 한다.준비가 끝나면 다시 울다하의 패션 콘테스트 무대 부근에 있는 '마라벨'에게 말을 걸자."
2,"TEXT_FESPDY702_04472_SEQ_02","마라벨과 대화해서, 모험가가 부른 게스트에게 걸맞은 코디네이트를 완성했다.게스트는 평소와 다른 코디네이트가 만족스러웠던 모양이다.울다하의 패션 콘테스트 무대 부근에 있는 '마라벨'에게 다시 말을 걸자."
3,"TEXT_FESPDY702_04472_SEQ_03","마라벨과 대화했다.시간이 있으면, 평소와 다르게 코디네이트시켜 주고 싶은 게스트를 마라벨에게 다시 데려오자."
4,"TEXT_FESPDY702_04472_SEQ_04",""
5,"TEXT_FESPDY702_04472_SEQ_05",""
6,"TEXT_FESPDY702_04472_SEQ_06",""
7,"TEXT_FESPDY702_04472_SEQ_07",""
8,"TEXT_FESPDY702_04472_SEQ_08",""
9,"TEXT_FESPDY702_04472_SEQ_09",""
10,"TEXT_FESPDY702_04472_SEQ_10",""
11,"TEXT_FESPDY702_04472_SEQ_11",""
12,"TEXT_FESPDY702_04472_SEQ_12",""
13,"TEXT_FESPDY702_04472_SEQ_13",""
14,"TEXT_FESPDY702_04472_SEQ_14",""
15,"TEXT_FESPDY702_04472_SEQ_15",""
16,"TEXT_FESPDY702_04472_SEQ_16",""
17,"TEXT_FESPDY702_04472_SEQ_17",""
18,"TEXT_FESPDY702_04472_SEQ_18",""
19,"TEXT_FESPDY702_04472_SEQ_19",""
20,"TEXT_FESPDY702_04472_SEQ_20",""
21,"TEXT_FESPDY702_04472_SEQ_21",""
22,"TEXT_FESPDY702_04472_SEQ_22",""
23,"TEXT_FESPDY702_04472_SEQ_23",""
24,"TEXT_FESPDY702_04472_TODO_00","마라벨과 대화"
