key,0,1
#,,
int32,str,str
0,"TEXT_FESVLT801_04465_SEQ_00","※ 이 퀘스트는 기간 한정 퀘스트입니다.

미 케토 야외음악당에 있는 리제트 드 발렌티온은 걱정거리가 있는 듯하다."
1,"TEXT_FESVLT801_04465_SEQ_01","※ 이 퀘스트는 기간 한정 이벤트 개최 기간에만
   진행하실 수 있습니다.
   개최 기간이 끝나면 진행하실 수 없으니 주의하십시오.
   자세한 사항은 공식 홈페이지를 참조하시기 바랍니다.

리제트와 대화했다. 아스트리드와 함께 뿌쿠티 삐코의 배달에 동행하게 되었다. 목수 길드 부근에 있는 '뿌쿠티 삐코'와 대화하자."
2,"TEXT_FESVLT801_04465_SEQ_02","뿌쿠티 삐코와 대화했다. 원예가 길드 부근에 있는 '뿌쿠티 삐코'와 대화하자."
3,"TEXT_FESVLT801_04465_SEQ_03","뿌쿠티 삐코와 대화했다. 휘파람 방앗간 부근에 있는 '뿌쿠티 삐코'와 대화하자."
4,"TEXT_FESVLT801_04465_SEQ_04","뿌쿠티 삐코와 대화했다. 아프칼루 폭포 부근에 있는 '뿌쿠티 삐코'와 대화하자."
5,"TEXT_FESVLT801_04465_SEQ_05","뿌쿠티 삐코와 대화했다. 배달을 통해 뿌쿠티 삐코는 사랑을 배울 수 있었다. 미 케토 야외음악당에 있는 '쿠뿌카 쿠뿌'에게 보고하자."
6,"TEXT_FESVLT801_04465_SEQ_06","쿠뿌카 쿠뿌에게 보고했다. 그런데 한 가지 더 부탁할 일이 있다고 한다. 다시 '쿠뿌카 쿠뿌'에게 말을 걸어 이야기를 들어 보자."
7,"TEXT_FESVLT801_04465_SEQ_07",""
8,"TEXT_FESVLT801_04465_SEQ_08",""
9,"TEXT_FESVLT801_04465_SEQ_09",""
10,"TEXT_FESVLT801_04465_SEQ_10",""
11,"TEXT_FESVLT801_04465_SEQ_11",""
12,"TEXT_FESVLT801_04465_SEQ_12",""
13,"TEXT_FESVLT801_04465_SEQ_13",""
14,"TEXT_FESVLT801_04465_SEQ_14",""
15,"TEXT_FESVLT801_04465_SEQ_15",""
16,"TEXT_FESVLT801_04465_SEQ_16",""
17,"TEXT_FESVLT801_04465_SEQ_17",""
18,"TEXT_FESVLT801_04465_SEQ_18",""
19,"TEXT_FESVLT801_04465_SEQ_19",""
