key,0,1
#,,
int32,str,str
0,"TEXT_AKTKRA205_04639_SEQ_00","판데모니움 정문에 있는 라하브레아는 아테나에 대해 이야기하기로 결심한 듯하다."
1,"TEXT_AKTKRA205_04639_SEQ_01","아테나가 아들을 어떻게 보고 있었는지, 그리고 헤파이스토스의 계략은 무엇인지, 라하브레아에게 이야기를 들었다. 지옥의 최심부에서 이어져 있다는 실험 구역으로 가서 '헤파이스토스'를 쓰러뜨리자.

※ '임무 찾기'를 통해, 본 임무의 공략에 참가할 수 있습니다."
2,"TEXT_AKTKRA205_04639_SEQ_02","헤파이스토스를 쓰러뜨렸다. 판데모니움 정문에서 마침내 지옥의 깊은 곳, 생명신비 연구동에 도착했다. 생명신비 연구동에서 헤파이스토스의 최후를 지켜보자."
3,"TEXT_AKTKRA205_04639_SEQ_03","제정신이 돌아온 에리크토니오스, 그리고 라하브레아가 헤파이스토스의 봉인에 성공했다. 생명신비 연구동에서 '라하브레아'와 대화하자."
4,"TEXT_AKTKRA205_04639_SEQ_04","헤파이스토스는 크리스탈에 봉인되었다. 에리크토니오스가 혼자서 '감옥'을 발동시키자 라하브레아도 느낀 것이 있는 듯하다."
5,"TEXT_AKTKRA205_04639_SEQ_05",""
6,"TEXT_AKTKRA205_04639_SEQ_06",""
7,"TEXT_AKTKRA205_04639_SEQ_07",""
8,"TEXT_AKTKRA205_04639_SEQ_08",""
9,"TEXT_AKTKRA205_04639_SEQ_09",""
10,"TEXT_AKTKRA205_04639_SEQ_10",""
11,"TEXT_AKTKRA205_04639_SEQ_11",""
12,"TEXT_AKTKRA205_04639_SEQ_12",""
13,"TEXT_AKTKRA205_04639_SEQ_13",""
14,"TEXT_AKTKRA205_04639_SEQ_14",""
15,"TEXT_AKTKRA205_04639_SEQ_15",""
16,"TEXT_AKTKRA205_04639_SEQ_16",""
17,"TEXT_AKTKRA205_04639_SEQ_17",""
18,"TEXT_AKTKRA205_04639_SEQ_18",""
19,"TEXT_AKTKRA205_04639_SEQ_19",""
20,"TEXT_AKTKRA205_04639_SEQ_20",""
21,"TEXT_AKTKRA205_04639_SEQ_21",""
22,"TEXT_AKTKRA205_04639_SEQ_22",""
23,"TEXT_AKTKRA205_04639_SEQ_23",""
