key,0,1
#,,
int32,str,str
0,"TEXT_AKTKMK101_04735_SEQ_00","메가두타 궁전 앞에 있는 바르샨은 상황을 파악하고 싶은 듯하다."
1,"TEXT_AKTKMK101_04735_SEQ_01","지금까지의 이야기:
아주다야를 수색하기 위해 모험가 일행은 다시 보이드로 향한다. 하지만 브리트라가 갑자기 아주다야의 기운을 감지한다. 그 말을 듣고 갈레말드로 간 모험가 일행은 골베자 사천왕의 일각인 '물의 카냐초'가 아주다야의 눈을 이용해 보이드의 문을 열었다는 것을 알게 된다. 모험가 일행은 그를 물리치지만, 이번에는 사베네어 섬에 사천왕 '불의 루비칸테'가 나타나 알자달 해저 유적에 있는 보이드의 문을 파괴해버린다. 그들은 골베자의 계획을 성공시키기 위해 자신들의 목숨을 걸고 원초세계에서 보이드로 건너가는 수단을 봉쇄한 것이다. 모험가 일행은 어쩔 수 없이 아주다야 수색을 중단하고, 보이드로 건너갈 새로운 방법을 찾아보러 떠난 야슈톨라를 기다리게 되었다.
　　　　　　　　　　　　*　*　*
바르샨과 상황을 공유하고 있는데 식사하러 같이 가자는 제로의 제안을 받았다.  그 전에 들를 곳이 있다고 하니 라자한의 발샨 시장 안쪽에서 기다리는 '제로'와 대화하자."
2,"TEXT_AKTKMK101_04735_SEQ_02","제로는 식사 전에 향신료를 고르고 있는 모양이다. 도와달라고 하는 제로를 위해 발샨 시장 안쪽에서 <Sheet(EObj,2013349,0)/>에서 향신료를 고르자."
3,"TEXT_AKTKMK101_04735_SEQ_03","향신료를 골랐다. 발샨 시장 안쪽에 있는 제로 옆에서 <Sheet(EventItem,2003461,0)/><13>FF15022811FF0A4576656E744974656DF61E92050103FF04EBA5BCFF04EC9D84</13> 사용하자."
4,"TEXT_AKTKMK101_04735_SEQ_04","모험가가 맛을 본 자극적인 향신료는 제로의 마음에도 드는 모양이다. 메리드의 주막으로 가서 '제로'와 대화하자."
5,"TEXT_AKTKMK101_04735_SEQ_05","제로와 함께 라자한의 카레를 맛있게 먹었다. 에스티니앙에게 간식을 갖다주기 위해 궁전 앞에 있는 '메가두타 궁전 관원'과 대화하자."
6,"TEXT_AKTKMK101_04735_SEQ_06","에스티니앙 일행과 이야기하고 있는데 야슈톨라가 위리앙제와 함께 새로운 보이드의 문을 열 수 있는 계획을 가지고 돌아왔다. 바르샨 일행과 함께 지상 쪽 준비를 진행하자."
7,"TEXT_AKTKMK101_04735_SEQ_07",""
