key,0,1
#,,
int32,str,str
0,"TEXT_AKTKUA203_04763_SEQ_00","개척 거점에 있는 연락돌이는 하고 싶은 말이 있는 듯하다."
1,"TEXT_AKTKUA203_04763_SEQ_01","연락돌이와 대화했다. 무인도의 남서 해변으로 가 '<Sheet(EObj,2013322,0)/>'에서 타타루를 기다리자."
2,"TEXT_AKTKUA203_04763_SEQ_02","타타루 일행과 합류했다. 해변에 있는 '에마넬랭'과 대화하고 동행하자."
3,"TEXT_AKTKUA203_04763_SEQ_03","에마넬랭과 시카르드를 데리고 출발했다. 무인도 회관 근처에 있는 지정 지점에서 동행 중인 '시카르드'와 대화하자.

※ 동행 상태가 해제되었을 경우, 해변에 있는 '시카르드' 또는 '에마넬랭'에게 말을 걸면 동행을 다시 시작할 수 있습니다."
4,"TEXT_AKTKUA203_04763_SEQ_04","시카르드와 대화했다. 무인도 절벽 위에 있는 지정 지점에서 동행 중인 '시카르드'와 대화하자."
5,"TEXT_AKTKUA203_04763_SEQ_05","개척 거점을 한눈에 바라보며 모두가 즐거운 한때를 보냈다. 해변에 있는 '타타루'와 대화하자."
6,"TEXT_AKTKUA203_04763_SEQ_06","타타루에게 말을 걸어 에마넬랭 일행을 배웅했다. 그들은 모두 이 섬이 마음에 든 모양이다. 계속해서 섬을 개척해보자."
7,"TEXT_AKTKUA203_04763_SEQ_07",""
8,"TEXT_AKTKUA203_04763_SEQ_08",""
9,"TEXT_AKTKUA203_04763_SEQ_09",""
10,"TEXT_AKTKUA203_04763_SEQ_10",""
11,"TEXT_AKTKUA203_04763_SEQ_11",""
12,"TEXT_AKTKUA203_04763_SEQ_12",""
13,"TEXT_AKTKUA203_04763_SEQ_13",""
14,"TEXT_AKTKUA203_04763_SEQ_14",""
15,"TEXT_AKTKUA203_04763_SEQ_15",""
16,"TEXT_AKTKUA203_04763_SEQ_16",""
17,"TEXT_AKTKUA203_04763_SEQ_17",""
18,"TEXT_AKTKUA203_04763_SEQ_18",""
19,"TEXT_AKTKUA203_04763_SEQ_19",""
20,"TEXT_AKTKUA203_04763_SEQ_20",""
21,"TEXT_AKTKUA203_04763_SEQ_21",""
22,"TEXT_AKTKUA203_04763_SEQ_22",""
23,"TEXT_AKTKUA203_04763_SEQ_23",""
