key,0,1
#,,
int32,str,str
0,"TEXT_BANLOP121_04707_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>특수 규칙:  레벨 보정(직업 변경 제한)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
※ 이 퀘스트는 퀘스트 수락 시점의 클래스로만 진행할 수 있습니다.

희망찬 화물실에 있는 매니징웨이는 동료들의 피로를 걱정하고 있는 듯하다."
1,"TEXT_BANLOP121_04707_SEQ_01",""
2,"TEXT_BANLOP121_04707_SEQ_02",""
3,"TEXT_BANLOP121_04707_SEQ_03",""
4,"TEXT_BANLOP121_04707_SEQ_04",""
5,"TEXT_BANLOP121_04707_SEQ_05",""
6,"TEXT_BANLOP121_04707_SEQ_06",""
7,"TEXT_BANLOP121_04707_SEQ_07",""
8,"TEXT_BANLOP121_04707_SEQ_08",""
9,"TEXT_BANLOP121_04707_SEQ_09",""
10,"TEXT_BANLOP121_04707_SEQ_10",""
11,"TEXT_BANLOP121_04707_SEQ_11",""
12,"TEXT_BANLOP121_04707_SEQ_12",""
13,"TEXT_BANLOP121_04707_SEQ_13",""
14,"TEXT_BANLOP121_04707_SEQ_14",""
15,"TEXT_BANLOP121_04707_SEQ_15",""
16,"TEXT_BANLOP121_04707_SEQ_16",""
17,"TEXT_BANLOP121_04707_SEQ_17",""
18,"TEXT_BANLOP121_04707_SEQ_18",""
19,"TEXT_BANLOP121_04707_SEQ_19",""
20,"TEXT_BANLOP121_04707_SEQ_20",""
21,"TEXT_BANLOP121_04707_SEQ_21",""
22,"TEXT_BANLOP121_04707_SEQ_22",""
23,"TEXT_BANLOP121_04707_SEQ_23",""
24,"TEXT_BANLOP121_04707_TODO_00","라이딩웨이와 대화하고 달 깡충이 타기"
25,"TEXT_BANLOP121_04707_TODO_01","달 깡충이를 타고
베스트웨이 피난처에 있는 레포릿들 근처에서 
깡충깡충! 실행"
26,"TEXT_BANLOP121_04707_TODO_02","매니징웨이에게 보고"
27,"TEXT_BANLOP121_04707_TODO_03",""
28,"TEXT_BANLOP121_04707_TODO_04",""
29,"TEXT_BANLOP121_04707_TODO_05",""
30,"TEXT_BANLOP121_04707_TODO_06",""
31,"TEXT_BANLOP121_04707_TODO_07",""
32,"TEXT_BANLOP121_04707_TODO_08",""
