key,0,1
#,,
int32,str,str
0,"TEXT_FESVLX001_04808_SEQ_00","※ 이 퀘스트는 기간 한정 퀘스트입니다.

미 케토 야외음악당에 있는 아스트리드는 곤란한 일이 있는 듯하다."
1,"TEXT_FESVLX001_04808_SEQ_01","※ 이 퀘스트는 기간 한정 이벤트 개최 기간에만
   진행하실 수 있습니다.
   개최 기간이 끝나면 진행하실 수 없으니 주의하십시오.
   자세한 사항은 공식 홈페이지를 참조하시기 바랍니다.

아스트리드와 대화했다. 그녀는 에밀리에가 뭘 하고 있는지 보고 와줬으면 하는 듯하다.그리다니아의 공예품점 '펜이르' 부근에서 사람의 견습 전도사 '에밀리에'를 찾자."
2,"TEXT_FESVLX001_04808_SEQ_02","에밀리에와 대화했다. 그녀는 연습하고 있던 것을 나중에 스테이지에서 보여주겠다고 한다. 미 케토 야외음악당에 돌아와서 '아스트리드'와 대화하자."
3,"TEXT_FESVLX001_04808_SEQ_03","아스트리드와 대화했다. 리제트도 이야기를 듣고 다 함께 발렌티온 데이의 분위기를 띄우기로 했다. 준비가 끝나면 다시 한번 아스트리드에게 말을 걸자."
4,"TEXT_FESVLX001_04808_SEQ_04",""
5,"TEXT_FESVLX001_04808_SEQ_05",""
6,"TEXT_FESVLX001_04808_SEQ_06",""
7,"TEXT_FESVLX001_04808_SEQ_07",""
8,"TEXT_FESVLX001_04808_SEQ_08",""
9,"TEXT_FESVLX001_04808_SEQ_09",""
10,"TEXT_FESVLX001_04808_SEQ_10",""
11,"TEXT_FESVLX001_04808_SEQ_11",""
12,"TEXT_FESVLX001_04808_SEQ_12",""
13,"TEXT_FESVLX001_04808_SEQ_13",""
14,"TEXT_FESVLX001_04808_SEQ_14",""
15,"TEXT_FESVLX001_04808_SEQ_15",""
16,"TEXT_FESVLX001_04808_SEQ_16",""
17,"TEXT_FESVLX001_04808_SEQ_17",""
18,"TEXT_FESVLX001_04808_SEQ_18",""
19,"TEXT_FESVLX001_04808_SEQ_19",""
20,"TEXT_FESVLX001_04808_SEQ_20",""
21,"TEXT_FESVLX001_04808_SEQ_21",""
22,"TEXT_FESVLX001_04808_SEQ_22",""
23,"TEXT_FESVLX001_04808_SEQ_23",""
24,"TEXT_FESVLX001_04808_TODO_00","에밀리에 찾기"
