key,0,1
#,,
int32,str,str
0,"TEXT_KINGBA541_04846_SEQ_00","예드리만에 있는 테페케는 편지가 도착한 것을 알리고 싶은 듯하다."
1,"TEXT_KINGBA541_04846_SEQ_01","편지는 의식이 없었던 테페케의 아버지가 깨어났다는 소식이었다. 테페케를 대신해서 툴라이욜라의 샤바야브체에 있는 '즈우헤'와 대화하자."
2,"TEXT_KINGBA541_04846_SEQ_02","테페케의 아버지가 있는 곳을 알아냈다. 샬로니 황야의 파리요난 옥야에서 아버지인 '넷제'를 찾자."
3,"TEXT_KINGBA541_04846_SEQ_03","넷제를 습격하는 마물을 쓰러뜨렸다. 파리요난 옥야에서 '넷제'를 구조하자."
4,"TEXT_KINGBA541_04846_SEQ_04","넷제와 제기의 능력을 발동시키는 조건에 대해 이야기했다. 라자한의 에테라이트 광장에 있는 '테페케'와 대화하자."
5,"TEXT_KINGBA541_04846_SEQ_05","라자한에 나타난 비라잔은 동조를 얻지 못하자 제기의 능력을 발동시키고 그곳을 떠났다. 라자한의 알자달 거리에 있는 '비라잔의 아버지'에게 이야기를 듣자."
6,"TEXT_KINGBA541_04846_SEQ_06","테페케는 비라잔의 태도에 신경 쓰이는 부분이 있는 듯하다. 예드리만으로 돌아가 '테페케'와 대화하자."
7,"TEXT_KINGBA541_04846_SEQ_07","편지에 따르면, 제기의 능력은 위험을 감지했을 때 발동하며, 위험이 클수록 큰 바위가 낙하한다고 한다. 테페케가 전투에 어울리는 무대를 준비하는 동안, 마도사로서 힘을 단련하자!

※ 원거리 마법 공격 역할 잡 중 하나 이상의 레벨이 100 이상 되면 예드리만의 테페케에게 다음 원거리 마법 공격 역할 퀘스트를 받을 수 있습니다."
8,"TEXT_KINGBA541_04846_SEQ_08",""
9,"TEXT_KINGBA541_04846_SEQ_09",""
10,"TEXT_KINGBA541_04846_SEQ_10",""
11,"TEXT_KINGBA541_04846_SEQ_11",""
12,"TEXT_KINGBA541_04846_SEQ_12",""
13,"TEXT_KINGBA541_04846_SEQ_13",""
14,"TEXT_KINGBA541_04846_SEQ_14",""
15,"TEXT_KINGBA541_04846_SEQ_15",""
16,"TEXT_KINGBA541_04846_SEQ_16",""
17,"TEXT_KINGBA541_04846_SEQ_17",""
18,"TEXT_KINGBA541_04846_SEQ_18",""
