key,0,1
#,,
int32,str,str
0,"TEXT_KINGMB110_04889_SEQ_00","동무의 등불에 있는 우크라마트는 요카후이족의 마을로 가려는 듯하다."
1,"TEXT_KINGMB110_04889_SEQ_01","요카후이족의 마을은 산길로 간다고 한다. 코자말루 카의 어슨샤이어 서쪽에 있는 '우크라마트'와 대화하자."
2,"TEXT_KINGMB110_04889_SEQ_02","우크라마트는 비석을 빼앗긴 일을 극복한 것 같다. 오르코 파차의 만 개의 발자국에 있는 '에렌빌'과 대화하자."
3,"TEXT_KINGMB110_04889_SEQ_03","에렌빌과 대화했다. 오르코 파차의 워라의 잔향에 있는 '우크라마트'와 대화하자."
4,"TEXT_KINGMB110_04889_SEQ_04","요카후이족의 마을인 워라의 잔향에 도착했다. 그들은 발리가르만다의 봉인을 수호하고 있다고 한다. 연왕 심사관을 찾기 위해 오르코 파차의 카료자 전당 앞에 있는 '우크라마트'와 대화하자."
5,"TEXT_KINGMB110_04889_SEQ_05","카료자 전당에는 얼음에 갇힌 발리가르만다가 봉인되어 있었다. 약 80년 전 굴루쟈쟈가 동료와 함께 발리가르만다와 싸우고, 최종적으로 발리가르만다 자신의 마력을 폭주시켜 봉인해 둔 상태라고 한다. 그 이야기를 들려준 사제 주무우는 구푸루를 찾아내는 것이 '무덤의 시련'이라고 했다. 워라의 잔향에 있는 '우크라마트'와 대화하자."
6,"TEXT_KINGMB110_04889_SEQ_06","우크라마트와 대화했다. 그녀는 발리가르만다가 풀려났을 때 어떻게 해야 할지를 생각하는 듯하다."
7,"TEXT_KINGMB110_04889_SEQ_07",""
8,"TEXT_KINGMB110_04889_SEQ_08",""
9,"TEXT_KINGMB110_04889_SEQ_09",""
10,"TEXT_KINGMB110_04889_SEQ_10",""
11,"TEXT_KINGMB110_04889_SEQ_11",""
12,"TEXT_KINGMB110_04889_SEQ_12",""
13,"TEXT_KINGMB110_04889_SEQ_13",""
14,"TEXT_KINGMB110_04889_SEQ_14",""
15,"TEXT_KINGMB110_04889_SEQ_15",""
16,"TEXT_KINGMB110_04889_SEQ_16",""
17,"TEXT_KINGMB110_04889_SEQ_17",""
18,"TEXT_KINGMB110_04889_SEQ_18",""
19,"TEXT_KINGMB110_04889_SEQ_19",""
20,"TEXT_KINGMB110_04889_SEQ_20",""
