key,0,1
#,,
int32,str,str
0,"TEXT_KINGYR102_05004_SEQ_00",""
1,"TEXT_KINGYR102_05004_SEQ_01",""
2,"TEXT_KINGYR102_05004_SEQ_02",""
3,"TEXT_KINGYR102_05004_SEQ_03",""
4,"TEXT_KINGYR102_05004_SEQ_04",""
5,"TEXT_KINGYR102_05004_SEQ_05",""
6,"TEXT_KINGYR102_05004_SEQ_06",""
7,"TEXT_KINGYR102_05004_SEQ_07",""
8,"TEXT_KINGYR102_05004_SEQ_08",""
9,"TEXT_KINGYR102_05004_SEQ_09",""
10,"TEXT_KINGYR102_05004_SEQ_10",""
11,"TEXT_KINGYR102_05004_SEQ_11",""
12,"TEXT_KINGYR102_05004_SEQ_12",""
13,"TEXT_KINGYR102_05004_SEQ_13",""
14,"TEXT_KINGYR102_05004_SEQ_14",""
15,"TEXT_KINGYR102_05004_SEQ_15",""
16,"TEXT_KINGYR102_05004_SEQ_16",""
17,"TEXT_KINGYR102_05004_SEQ_17",""
18,"TEXT_KINGYR102_05004_SEQ_18",""
19,"TEXT_KINGYR102_05004_SEQ_19",""
20,"TEXT_KINGYR102_05004_SEQ_20",""
21,"TEXT_KINGYR102_05004_SEQ_21",""
22,"TEXT_KINGYR102_05004_SEQ_22",""
23,"TEXT_KINGYR102_05004_SEQ_23",""
24,"TEXT_KINGYR102_05004_TODO_00",""
25,"TEXT_KINGYR102_05004_TODO_01",""
26,"TEXT_KINGYR102_05004_TODO_02",""
27,"TEXT_KINGYR102_05004_TODO_03",""
28,"TEXT_KINGYR102_05004_TODO_04",""
29,"TEXT_KINGYR102_05004_TODO_05",""
30,"TEXT_KINGYR102_05004_TODO_06",""
31,"TEXT_KINGYR102_05004_TODO_07",""
32,"TEXT_KINGYR102_05004_TODO_08",""
33,"TEXT_KINGYR102_05004_TODO_09",""
34,"TEXT_KINGYR102_05004_TODO_10",""
35,"TEXT_KINGYR102_05004_TODO_11",""
36,"TEXT_KINGYR102_05004_TODO_12",""
37,"TEXT_KINGYR102_05004_TODO_13",""
38,"TEXT_KINGYR102_05004_TODO_14",""
39,"TEXT_KINGYR102_05004_TODO_15",""
40,"TEXT_KINGYR102_05004_TODO_16",""
41,"TEXT_KINGYR102_05004_TODO_17",""
42,"TEXT_KINGYR102_05004_TODO_18",""
43,"TEXT_KINGYR102_05004_TODO_19",""
44,"TEXT_KINGYR102_05004_TODO_20",""
45,"TEXT_KINGYR102_05004_TODO_21",""
46,"TEXT_KINGYR102_05004_TODO_22",""
47,"TEXT_KINGYR102_05004_TODO_23",""
48,"TEXT_KINGYR102_05004_WANDERINGMINSTREL_000_000","아아, 이런 곳에서 너를 만나다니 행운이네.
계승 의식의 협력자이자 우크라마트 님의 절친한 벗……
너라는 모험가의 이름은 툴라이욜라에서 자주 들었다네."
49,"TEXT_KINGYR102_05004_WANDERINGMINSTREL_000_001","나는 동서고금의 모험담을 시로 지어서
많은 이들에게 노래해 주는 일을 생업으로 삼고 있다네.
이번엔 이야깃거리를 찾아 에오르제아에서 투랄 대륙까지 왔지."
50,"TEXT_KINGYR102_05004_WANDERINGMINSTREL_000_002","이곳엔 삼대주에 안 알려진 민화와 전승이 많아서
내게도 무척 흥미로운 땅이야.
덕분에 시 소재도 많이 얻었지만……."
51,"TEXT_KINGYR102_05004_WANDERINGMINSTREL_000_003","이제는 슬슬 사선을 넘나드는 아슬아슬한
모험담도 듣고 싶단 말이지."
52,"TEXT_KINGYR102_05004_WANDERINGMINSTREL_000_004","…………그래!
너만 괜찮다면 최근 모험에서 겪은 일을
내게 이야기해 주지 않겠나?"
53,"TEXT_KINGYR102_05004_WANDERINGMINSTREL_000_005","계승 의식의 시련, 그리고 빗발치는 번개를 뚫고 반구에 진입……
그 모든 일에 무시무시한 위협과 파란이 도사리고 있었을 테지."
54,"TEXT_KINGYR102_05004_WANDERINGMINSTREL_000_006","그런 대모험의 경험을 이야기해 주면
나도 틀림없이 더 멋진 시를 지을 수 있어!"
55,"TEXT_KINGYR102_05004_WANDERINGMINSTREL_000_007","나는 대개 여기서 시를 구상하고는 한다네.
내게 이야기를 들려줄 마음이 생기면
꼭 다시 내게 말을 걸어 줘."
