key,0,1
#,,
int32,str,str
0,"TEXT_KINGZH002_05175_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>특수 규칙:  레벨 보정<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
커낼타운에 있는 의료사 박물관 직원은 도움이 필요한 듯하다."
1,"TEXT_KINGZH002_05175_SEQ_01","※ 이 퀘스트에는 <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> 레벨 보정<13>FF2A024804F201FC03024904F201FD03EE82BE0249020103024802010320EBA088EBB2A820EBB3B4ECA095FF04EAB080FF04EC9DB4</13>
　적용됩니다.

의료사 박물관 직원과 대화하고 자료 회수를 돕기로 했다. 커낼타운 남쪽에서 '의료 역사 자료'를 회수하자."
2,"TEXT_KINGZH002_05175_SEQ_02","의료 역사 자료를 회수했다. 커낼타운 '다게레오 의료사 박물관 부근'에 있는 '의료사 박물관 직원'에게 회수한 자료를 전달하자."
3,"TEXT_KINGZH002_05175_SEQ_03","회수한 자료를 의료사 박물관 직원에게 전달했다. 의료사 박물관 직원은 의료의 역사를 후대에 전하기 위해 사라지는 순간까지 임무를 다할 것이다."
4,"TEXT_KINGZH002_05175_SEQ_04",""
5,"TEXT_KINGZH002_05175_SEQ_05",""
6,"TEXT_KINGZH002_05175_SEQ_06",""
7,"TEXT_KINGZH002_05175_SEQ_07",""
8,"TEXT_KINGZH002_05175_SEQ_08",""
9,"TEXT_KINGZH002_05175_SEQ_09",""
10,"TEXT_KINGZH002_05175_SEQ_10",""
11,"TEXT_KINGZH002_05175_SEQ_11",""
12,"TEXT_KINGZH002_05175_SEQ_12",""
13,"TEXT_KINGZH002_05175_SEQ_13",""
14,"TEXT_KINGZH002_05175_SEQ_14",""
15,"TEXT_KINGZH002_05175_SEQ_15",""
16,"TEXT_KINGZH002_05175_SEQ_16",""
17,"TEXT_KINGZH002_05175_SEQ_17",""
18,"TEXT_KINGZH002_05175_SEQ_18",""
19,"TEXT_KINGZH002_05175_SEQ_19",""
20,"TEXT_KINGZH002_05175_SEQ_20",""
21,"TEXT_KINGZH002_05175_SEQ_21",""
22,"TEXT_KINGZH002_05175_SEQ_22",""
23,"TEXT_KINGZH002_05175_SEQ_23",""
