key,0,1
#,,
int32,str,str
0,"TEXT_FESPDX002_05238_SEQ_00","※ 이 퀘스트는 기간 한정 퀘스트입니다.

황금 마당에 있는 피콧은 첫 공연에서 구체적으로 무엇을 할 수 있을지 고민하는 듯하다."
1,"TEXT_FESPDX002_05238_SEQ_01","※ 이 퀘스트는 기간 한정 이벤트 개최 기간에만
     진행하실 수 있습니다.
     개최 기간이 끝나면 진행하실 수 없으니 주의하십시오.
     자세한 이벤트 내용은 공식 홈페이지를 참고하세요.

피콧과 대화하고, 피콧이 가수가 된 사연을 들었다. 집사왕자의 첫 공연에서 무엇을 할 수 있을지 고민하기 위해 울다하 루비길 국제시장의 무대 부근에 있는 '피콧'과 대화하자."
2,"TEXT_FESPDX002_05238_SEQ_02","피콧과 대화하고 첫 공연에서 할 수 있는 일을 함께 고민한 끝에 의상의 이미지가 결정되었다. 울다하의 보석점 '에쉬템' 부근에 있는 '마라벨'과 대화하자."
3,"TEXT_FESPDX002_05238_SEQ_03","마라벨과 대화했다. 루비길 국제시장에 있는 '집사왕'에게 보고하자."
4,"TEXT_FESPDX002_05238_SEQ_04","집사왕과 대화한 후, 집사왕자 피콧의 첫 공연을 지켜보았다. 루비길 국제시장에 있는, 공연을 마친 '피콧'과 대화하자."
5,"TEXT_FESPDX002_05238_SEQ_05","피콧과 대화했다. 집사왕자의 첫 공연과 대접은 대성공이었다. 피콧은 앞으로도 꿈을 이루기 위해 집사왕자로서 열심히 활동하겠다고 한다. 분명 언젠가는 소꿉친구에게도 그의 목소리가 닿을 것이다. 축제 기간 중에는 울다하에서 프린세스데이가 계속해서 열리고 있다. 세 가희와 집사왕자가 주축이 되어 공연을 계속한다고 하니 상황을 보러 가 봐도 좋을 것이다."
6,"TEXT_FESPDX002_05238_SEQ_06",""
7,"TEXT_FESPDX002_05238_SEQ_07",""
8,"TEXT_FESPDX002_05238_SEQ_08",""
9,"TEXT_FESPDX002_05238_SEQ_09",""
10,"TEXT_FESPDX002_05238_SEQ_10",""
11,"TEXT_FESPDX002_05238_SEQ_11",""
12,"TEXT_FESPDX002_05238_SEQ_12",""
13,"TEXT_FESPDX002_05238_SEQ_13",""
14,"TEXT_FESPDX002_05238_SEQ_14",""
15,"TEXT_FESPDX002_05238_SEQ_15",""
