key,0,1
#,,
int32,str,str
0,"TEXT_FESXMX101_05231_SEQ_00","※ 이 퀘스트는 기간 한정 퀘스트입니다.

미 케토 야외음악당에 있는 아므 가란지는 모험가의 힘을 빌리고 싶은 듯하다."
1,"TEXT_FESXMX101_05231_SEQ_01","※ 이 퀘스트는 기간 한정 이벤트 개최 기간에만
   진행하실 수 있습니다.
   개최 기간이 끝나면 진행하실 수 없으니 주의하십시오.
   자세한 사항은 공식 홈페이지를 참조하시기 바랍니다.

아므 가란지는 별빛 시장에서 킨더푼쉬 나눠주는 일을 도와줬으면 하는 듯하다. 미 케토 야외음악당에 있는 '별빛 시장 안내인'과 대화하고, 별빛 시장으로 이동하자."
2,"TEXT_FESXMX101_05231_SEQ_02","별빛 시장으로 이동했다. 별빛 시장에 있는 '아므 가란지'와 대화하자.
밖으로 나왔을 경우에는 미 케토 야외음악당에 있는 '별빛 시장 안내인'이 별빛 시장으로 안내해 준다고 한다."
3,"TEXT_FESXMX101_05231_SEQ_03","아므 가란지와 뮨에게서 이야기를 듣고, 각 도시의 머그컵에 맞춘 킨더푼쉬를 만들기로 했다. 그리다니아 상점가 근처에 있는, 다른 도시에서 온 방문객과 대화하고 레시피 아이디어를 얻자."
4,"TEXT_FESXMX101_05231_SEQ_04","다른 도시에서 온 방문객과 대화했다. 미 케토 야외음악당에 있는 '아므 가란지'와 대화하자."
5,"TEXT_FESXMX101_05231_SEQ_05","아므 가란지와 대화했다. 별빛 시장에 있는 아이들과 대화하자. 별빛 시장에는 그리다니아의 미 케토 야외음악당에 있는 별빛 시장 안내인과 대화하면 이동할 수 있는 듯하다."
6,"TEXT_FESXMX101_05231_SEQ_06","아이들과 대화했다. 별빛 시장에 있는 '차분한 별빛축제 실행위원'과 대화하고, 킨더푼쉬 나눠주는 일을 도와주자."
7,"TEXT_FESXMX101_05231_SEQ_07","킨더푼쉬를 나눠주자, 아이들이 기뻐했다. 미 케토 야외음악당에 있는 '아므 가란지'와 대화하자."
8,"TEXT_FESXMX101_05231_SEQ_08","모험가의 도움으로, 넓은 세상을 동경하던 소년 줄탱의 마음이 한껏 들뜬 것 같다. 킨더푼쉬 나눠주는 일을 또 돕고 싶을 땐, 다시 한번 별빛 시장에 있는 '차분한 별빛축제 실행위원'에게 말을 걸어보자."
