key,0,1
#,,
int32,str,str
0,"TEXT_KINGMH101_05299_SEQ_00","백룸에 있는 쿠루루는 모험가에게 할 말이 있는 듯하다."
1,"TEXT_KINGMH101_05299_SEQ_01","지금까지의 이야기:
알렉산드리아의 초대를 받아 스펜의 국장을 지켜본 모험가 일행은 어머니를 알고 싶다는 굴루쟈를 위해 마무쟈족 여성의 흔적을 찾아 나선다. 그 과정에서 조사를 통해 용연대의 주술의였던 '테샤쟈'가 굴루쟈의 어머니라는 사실을 알게 된다. 그 후 에버킵으로 돌아온 모험가 일행은 알렉산드리아 사람들이 영혼 자원 때문에 불안해하는 모습을 목격한다. 자칫 큰 소동으로 번지려던 찰나, 소멸한 것이 분명한 스펜이 모습을 드러낸다. 국장의 기억을 잃고, 아무 의심 없이 '스펜'을 받아들이는 사람들…… 그 기묘한 광경을 본 모험가 일행은 새로운 파란이 찾아올 것을 예감했다.
　　　　　　　　　　　　*　*　*
쿠루루 일행과 대화하고 각자의 상황을 공유했다. 백룸 안쪽에 있는 휴게실로 가자."
2,"TEXT_KINGMH101_05299_SEQ_02","백룸의 휴게실로 가자.
벗어났을 경우에는 '백룸'에서 다시 갈 수 있다고 한다."
3,"TEXT_KINGMH101_05299_SEQ_03","백룸의 휴게실에서 영원인이 아닌 스펜을 만났다. 휴게실에서 '스펜'과 대화하자."
4,"TEXT_KINGMH101_05299_SEQ_04","스펜과 대화하고 그녀가 놓인 상황과 현재의 알렉산드리아에 관해 설명했다. 휴게실에서 '스펜'과 다시 대화하자."
5,"TEXT_KINGMH101_05299_SEQ_05","스펜과 다시 대화했다. 현재의 상황에 고뇌하면서도 그녀는 알렉산드리아의 지금을 알고자 한다. 스펜을 도우면서 앞으로 어떻게 움직일지를 생각해 보자."
6,"TEXT_KINGMH101_05299_SEQ_06",""
7,"TEXT_KINGMH101_05299_SEQ_07",""
8,"TEXT_KINGMH101_05299_SEQ_08",""
9,"TEXT_KINGMH101_05299_SEQ_09",""
10,"TEXT_KINGMH101_05299_SEQ_10",""
11,"TEXT_KINGMH101_05299_SEQ_11",""
12,"TEXT_KINGMH101_05299_SEQ_12",""
13,"TEXT_KINGMH101_05299_SEQ_13",""
14,"TEXT_KINGMH101_05299_SEQ_14",""
15,"TEXT_KINGMH101_05299_SEQ_15",""
