key,0,1
#,,
int32,str,str
0,"TEXT_BANYOK104_05339_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>특수 규칙:  레벨 보정(직업 변경 제한)<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
※ 이 퀘스트는 퀘스트 수락 시점의 클래스로만 진행할 수 있습니다.

눈지기의 돌방에 있는 부야구는 모험가에게 받아와 달라고 부탁하고 싶은 것이 있는 듯하다."
1,"TEXT_BANYOK104_05339_SEQ_01",""
2,"TEXT_BANYOK104_05339_SEQ_02",""
3,"TEXT_BANYOK104_05339_SEQ_03",""
4,"TEXT_BANYOK104_05339_SEQ_04",""
5,"TEXT_BANYOK104_05339_SEQ_05",""
6,"TEXT_BANYOK104_05339_SEQ_06",""
7,"TEXT_BANYOK104_05339_SEQ_07",""
8,"TEXT_BANYOK104_05339_SEQ_08",""
9,"TEXT_BANYOK104_05339_SEQ_09",""
10,"TEXT_BANYOK104_05339_SEQ_10",""
11,"TEXT_BANYOK104_05339_SEQ_11",""
12,"TEXT_BANYOK104_05339_SEQ_12",""
13,"TEXT_BANYOK104_05339_SEQ_13",""
14,"TEXT_BANYOK104_05339_SEQ_14",""
15,"TEXT_BANYOK104_05339_SEQ_15",""
16,"TEXT_BANYOK104_05339_SEQ_16",""
17,"TEXT_BANYOK104_05339_SEQ_17",""
18,"TEXT_BANYOK104_05339_SEQ_18",""
19,"TEXT_BANYOK104_05339_SEQ_19",""
20,"TEXT_BANYOK104_05339_SEQ_20",""
21,"TEXT_BANYOK104_05339_SEQ_21",""
22,"TEXT_BANYOK104_05339_SEQ_22",""
23,"TEXT_BANYOK104_05339_SEQ_23",""
24,"TEXT_BANYOK104_05339_TODO_00","천고의 위안에 있는 노련한 요카후이족 산길잡이와 대화"
25,"TEXT_BANYOK104_05339_TODO_01","부야구에게 <Sheet(EventItem,2003784,0)/> 전달"
26,"TEXT_BANYOK104_05339_TODO_02",""
27,"TEXT_BANYOK104_05339_TODO_03",""
28,"TEXT_BANYOK104_05339_TODO_04",""
29,"TEXT_BANYOK104_05339_TODO_05",""
30,"TEXT_BANYOK104_05339_TODO_06",""
31,"TEXT_BANYOK104_05339_TODO_07",""
32,"TEXT_BANYOK104_05339_TODO_08",""
