key,0,1
#,,
int32,str,str
0,"TEXT_KINGKD006_05314_SEQ_00","탐사대 거점에 있는 케텐람은 탐사 방침에 대해 생각이 있는 듯하다."
1,"TEXT_KINGKD006_05314_SEQ_01",""
2,"TEXT_KINGKD006_05314_SEQ_02",""
3,"TEXT_KINGKD006_05314_SEQ_03",""
4,"TEXT_KINGKD006_05314_SEQ_04",""
5,"TEXT_KINGKD006_05314_SEQ_05",""
6,"TEXT_KINGKD006_05314_SEQ_06",""
7,"TEXT_KINGKD006_05314_SEQ_07",""
8,"TEXT_KINGKD006_05314_SEQ_08",""
9,"TEXT_KINGKD006_05314_SEQ_09",""
10,"TEXT_KINGKD006_05314_SEQ_10",""
11,"TEXT_KINGKD006_05314_SEQ_11",""
12,"TEXT_KINGKD006_05314_SEQ_12",""
13,"TEXT_KINGKD006_05314_SEQ_13",""
14,"TEXT_KINGKD006_05314_SEQ_14",""
15,"TEXT_KINGKD006_05314_SEQ_15",""
16,"TEXT_KINGKD006_05314_SEQ_16",""
17,"TEXT_KINGKD006_05314_SEQ_17",""
18,"TEXT_KINGKD006_05314_SEQ_18",""
19,"TEXT_KINGKD006_05314_SEQ_19",""
20,"TEXT_KINGKD006_05314_SEQ_20",""
21,"TEXT_KINGKD006_05314_SEQ_21",""
22,"TEXT_KINGKD006_05314_SEQ_22",""
23,"TEXT_KINGKD006_05314_SEQ_23",""
24,"TEXT_KINGKD006_05314_TODO_00","<Sheet(BNpcName,13884,0)/><13>FF1302280FFF09424E70634E616D65F2363C0103FF04EBA5BCFF04EC9D84</13> 쓰러뜨리고 정보 수집"
25,"TEXT_KINGKD006_05314_TODO_01","<Sheet(BNpcName,13882,0)/><13>FF1302280FFF09424E70634E616D65F2363A0103FF04EBA5BCFF04EC9D84</13> 쓰러뜨리고 정보 수집"
26,"TEXT_KINGKD006_05314_TODO_02","<Sheet(BNpcName,13877,0)/><13>FF1302280FFF09424E70634E616D65F236350103FF04EBA5BCFF04EC9D84</13> 쓰러뜨리고 정보 수집"
27,"TEXT_KINGKD006_05314_TODO_03","아카이브와 대화"
28,"TEXT_KINGKD006_05314_TODO_04",""
29,"TEXT_KINGKD006_05314_TODO_05",""
30,"TEXT_KINGKD006_05314_TODO_06",""
31,"TEXT_KINGKD006_05314_TODO_07",""
