key,0,1
#,,
int32,str,str
0,"TEXT_KINGMI110_05373_SEQ_00","백룸에 있는 셰일은 안도한 듯하다."
1,"TEXT_KINGMI110_05373_SEQ_01","셰일 일행과 승리를 만끽했다. 알렉산드리아 사람들이 안정을 찾을 때까지, 몇 주는 더 걸릴 듯하다. 백룸에 있는 '셰일'에게 말을 걸어, 휴식을 취하자."
2,"TEXT_KINGMI110_05373_SEQ_02","휴식을 취하며, 알렉산드리아의 재출발을 지켜보았다. 리빙 메모리의 레이노드 메모리즈에서 '스펜'과 대화하자."
3,"TEXT_KINGMI110_05373_SEQ_03","스펜은 망설였지만 국민들을 지킬 결심을 굳힌 듯하다. 툴라이욜라의 볼로크 연왕궁에서 '우크라마트'와 대화하자."
4,"TEXT_KINGMI110_05373_SEQ_04","우크라마트 일행의 마음을 받아들였다. 솔루션 나인의 프락시스 공원에서 '스펜'과 대화하자."
5,"TEXT_KINGMI110_05373_SEQ_05","스펜의 이야기 속에서 알렉산드리아의 미래를 엿볼 수 있었다. 앞으로 알렉산드리아의 사람들은 새로운 왕과 함께 미소를 되찾을 것이다."
6,"TEXT_KINGMI110_05373_SEQ_06",""
7,"TEXT_KINGMI110_05373_SEQ_07",""
8,"TEXT_KINGMI110_05373_SEQ_08",""
9,"TEXT_KINGMI110_05373_SEQ_09",""
10,"TEXT_KINGMI110_05373_SEQ_10",""
11,"TEXT_KINGMI110_05373_SEQ_11",""
12,"TEXT_KINGMI110_05373_SEQ_12",""
13,"TEXT_KINGMI110_05373_SEQ_13",""
14,"TEXT_KINGMI110_05373_SEQ_14",""
15,"TEXT_KINGMI110_05373_SEQ_15",""
16,"TEXT_KINGMI110_05373_SEQ_16",""
17,"TEXT_KINGMI110_05373_SEQ_17",""
18,"TEXT_KINGMI110_05373_SEQ_18",""
19,"TEXT_KINGMI110_05373_SEQ_19",""
20,"TEXT_KINGMI110_05373_SEQ_20",""
21,"TEXT_KINGMI110_05373_SEQ_21",""
22,"TEXT_KINGMI110_05373_SEQ_22",""
23,"TEXT_KINGMI110_05373_SEQ_23",""
24,"TEXT_KINGMI110_05373_TODO_00","셰일과 대화"
25,"TEXT_KINGMI110_05373_TODO_01","스펜과 대화"
26,"TEXT_KINGMI110_05373_TODO_02","볼로크 연왕궁에 있는 우크라마트와 대화"
