key,0,1
#,,
int32,str,str
0,"TEXT_JOBXBM141_05496_SEQ_00","배넉 연병장 부근에 있는 자유하 티아는 모험가의 성장에 만족하는 듯하다."
1,"TEXT_JOBXBM141_05496_SEQ_01","자유하 티아는 쿠시의 상태가 궁금한 모양이다. '쿠시'를 불러낸 상태로, 배넉 연병장 부근에 있는 '자유하 티아'와 대화하자."
2,"TEXT_JOBXBM141_05496_SEQ_02","루스프록스는 마수 시련장에 도전할 생각인 듯하다. 마수를 20종류 이상 동료로 삼은 상태로 배넉 연병장 부근에 있는 '자유하 티아'와 대화하자.
마수 출현 장소는 마수도감의 '주요 출현 지역'에서 확인할 수 있습니다."
3,"TEXT_JOBXBM141_05496_SEQ_03","'마수 시련장 두 번째 시련'에 도전할 준비가 끝났다. 중부삼림 굽은가지 목장에 있는 '라우다'와 대화하자."
4,"TEXT_JOBXBM141_05496_SEQ_04","루스프록스의 환영체와 대결하게 될 것 같다. 굽은가지 목장에 있는 라우다를 통해 '마수 시련장 두 번째 시련'에 도전하자!

※ '마수 시련장 두 번째 시련'을 완료하면 굽은가지 목장에 있는 라우다에게서 다음 마수조련사 퀘스트를 받을 수 있습니다."
5,"TEXT_JOBXBM141_05496_SEQ_05",""
6,"TEXT_JOBXBM141_05496_SEQ_06",""
7,"TEXT_JOBXBM141_05496_SEQ_07",""
8,"TEXT_JOBXBM141_05496_SEQ_08",""
9,"TEXT_JOBXBM141_05496_SEQ_09",""
10,"TEXT_JOBXBM141_05496_SEQ_10",""
11,"TEXT_JOBXBM141_05496_SEQ_11",""
12,"TEXT_JOBXBM141_05496_SEQ_12",""
13,"TEXT_JOBXBM141_05496_SEQ_13",""
14,"TEXT_JOBXBM141_05496_SEQ_14",""
15,"TEXT_JOBXBM141_05496_SEQ_15",""
16,"TEXT_JOBXBM141_05496_SEQ_16",""
17,"TEXT_JOBXBM141_05496_SEQ_17",""
18,"TEXT_JOBXBM141_05496_SEQ_18",""
19,"TEXT_JOBXBM141_05496_SEQ_19",""
20,"TEXT_JOBXBM141_05496_SEQ_20",""
21,"TEXT_JOBXBM141_05496_SEQ_21",""
22,"TEXT_JOBXBM141_05496_SEQ_22",""
23,"TEXT_JOBXBM141_05496_SEQ_23",""
