key,0,1
#,,
int32,str,str
0,"TEXT_KINGRA306_05440_SEQ_00","아르카디아 소사이어티 대기실에 있는 야아나는 낙담에 빠져 있다."
1,"TEXT_KINGRA306_05440_SEQ_01","야아나는 투사들의 원수를 갚아달라고 부탁했다. 진정한 통합 챔피언이 되기 위해서라도, 망국의 거대 뱀 '린드블룸'을 쓰러뜨리자.

※ '임무 찾기'를 통해, 본 임무의 공략에 참가할 수 있습니다."
2,"TEXT_KINGRA306_05440_SEQ_02","린드블룸을 쓰러뜨렸다. 트라이테일 체육관으로 돌아가자."
3,"TEXT_KINGRA306_05440_SEQ_03","린드블룸을 쓰러뜨리자, 메템은 모든 것이 투사들의 영혼 침식증을 치료하기 위한 주인의 각본이었음을 밝혔다. 린드블룸은 재생하여 다시 공격해 왔지만 레자라 일행이 달려왔고, 이어 살아 돌아온 브루트 봄버가 나타나 모두의 힘을 모아 린드블룸을 쓰러뜨릴 수 있었다. 린드블룸의 핵을 이용해 투사들의 영혼 침식증을 치료할 수 있다고 하여, 잠시 기다리기로 했다. 트라이테일 체육관에 있는 '네유니'와 대화하자."
4,"TEXT_KINGRA306_05440_SEQ_04","네유니와 대화하고, 영혼 침식증이 완치된 투사들이 돌아왔다. 모두가 모험가에게 감사를 표했고, 메템은 그동안 속였던 일을 사과했다. 아르카디아는 새롭게 변모하여, 맨몸으로 싸우는 격투 경기로 거듭나게 될 듯하다. 새로운 통합 챔피언의 대관식이 열린다고 하니, 아르카디아 소사이어티 대기실로 가서 '야아나'와 대화하자.
벗어났을 경우에는 아르카디아 소사이어티 앞에 있는 '아르카디아 담당자'에게 말을 걸면 다시 갈 수 있다고 한다."
5,"TEXT_KINGRA306_05440_SEQ_05","야아나와 대화하고 대관식에 나갔지만,  난입한 브루트 봄버와 야아나가 맨몸으로 격투를 벌였다. 솔루션 나인의 트라이테일 체육관 앞에서 '야아나'와 대화하자."
6,"TEXT_KINGRA306_05440_SEQ_06","야아나와 대화했다. 야아나는 주인의 각본에 휘말렸다는 사실을 부정할 수는 없지만, 모험가 덕분에 해피 엔딩을 맞을 수 있었다고 말했다. 다시 태어난 신생 아르카디아는 앞으로 많은 관객에게 즐거움을 선사하게 될 것이다."
7,"TEXT_KINGRA306_05440_SEQ_07",""
