key,0,1
#,,
int32,str,str
0,"TEXT_KINGWZ302_05451_SEQ_00","마른땅 기지에 있는 우주 라이너 기술자는 우주 라이너 점검을 하러 가고 싶은 듯하다."
1,"TEXT_KINGWZ302_05451_SEQ_01",""
2,"TEXT_KINGWZ302_05451_SEQ_02",""
3,"TEXT_KINGWZ302_05451_SEQ_03",""
4,"TEXT_KINGWZ302_05451_SEQ_04",""
5,"TEXT_KINGWZ302_05451_SEQ_05",""
6,"TEXT_KINGWZ302_05451_SEQ_06",""
7,"TEXT_KINGWZ302_05451_SEQ_07",""
8,"TEXT_KINGWZ302_05451_SEQ_08",""
9,"TEXT_KINGWZ302_05451_SEQ_09",""
10,"TEXT_KINGWZ302_05451_SEQ_10",""
11,"TEXT_KINGWZ302_05451_SEQ_11",""
12,"TEXT_KINGWZ302_05451_SEQ_12",""
13,"TEXT_KINGWZ302_05451_SEQ_13",""
14,"TEXT_KINGWZ302_05451_SEQ_14",""
15,"TEXT_KINGWZ302_05451_SEQ_15",""
16,"TEXT_KINGWZ302_05451_SEQ_16",""
17,"TEXT_KINGWZ302_05451_SEQ_17",""
18,"TEXT_KINGWZ302_05451_SEQ_18",""
19,"TEXT_KINGWZ302_05451_SEQ_19",""
20,"TEXT_KINGWZ302_05451_SEQ_20",""
21,"TEXT_KINGWZ302_05451_SEQ_21",""
22,"TEXT_KINGWZ302_05451_SEQ_22",""
23,"TEXT_KINGWZ302_05451_SEQ_23",""
24,"TEXT_KINGWZ302_05451_TODO_00","게라스 만에 있는 우주 라이너 정거장 점검"
25,"TEXT_KINGWZ302_05451_TODO_01","잔잔한 사막에 있는 우주 라이너 정거장 점검"
26,"TEXT_KINGWZ302_05451_TODO_02","잔잔한 사막 북쪽에 있는 우주 라이너 정거장 점검"
27,"TEXT_KINGWZ302_05451_TODO_03","우주 라이너 기술자와 대화"
28,"TEXT_KINGWZ302_05451_TODO_04",""
29,"TEXT_KINGWZ302_05451_TODO_05",""
30,"TEXT_KINGWZ302_05451_TODO_06",""
31,"TEXT_KINGWZ302_05451_TODO_07",""
32,"TEXT_KINGWZ302_05451_TODO_08",""
33,"TEXT_KINGWZ302_05451_TODO_09",""
34,"TEXT_KINGWZ302_05451_TODO_10",""
35,"TEXT_KINGWZ302_05451_TODO_11",""
