key,0,1
#,,
int32,str,str
0,"TEXT_BAHAMUTGUIDEENTRANCEFOREST_ANAELLE_000_000","드디어 '대미궁 바하무트'에 돌입할 시간입니다.
달라가브의 파편 주변과 내부에 어떤 위험이 있을지 모르니
동료들과 함께 철저히 준비하시기 바랍니다."
1,"TEXT_BAHAMUTGUIDEENTRANCEFOREST_Q1_000_010","무엇을 하시겠습니까?"
2,"TEXT_BAHAMUTGUIDEENTRANCEFOREST_A1_000_011","'대미궁 바하무트: 침공편' 시작 조건 묻기"
3,"TEXT_BAHAMUTGUIDEENTRANCEFOREST_A1_100_011","'대미궁 바하무트: 침공편(영웅)' 시작 조건 묻기"
4,"TEXT_BAHAMUTGUIDEENTRANCEFOREST_A1_000_012","<Sheet(InstanceContent,IntegerParameter(1),3)/> 시작하기"
5,"TEXT_BAHAMUTGUIDEENTRANCEFOREST_A1_100_012","<Sheet(InstanceContent,IntegerParameter(2),3)/> 시작하기"
6,"TEXT_BAHAMUTGUIDEENTRANCEFOREST_A1_000_013","취소"
7,"TEXT_BAHAMUTGUIDEENTRANCEFOREST_00105_Q3_000_015","궁금한 것이 있습니까?"
8,"TEXT_BAHAMUTGUIDEENTRANCEFOREST_00105_A3_000_016","'대미궁 바하무트: 침공편' 시작 조건 묻기"
9,"TEXT_BAHAMUTGUIDEENTRANCEFOREST_A3_100_016","'대미궁 바하무트: 침공편(영웅)' 시작 조건 묻기"
10,"TEXT_BAHAMUTGUIDEENTRANCEFOREST_00105_A3_000_017","취소"
11,"TEXT_BAHAMUTGUIDEENTRANCEFOREST_ANAELLE_000_020","우리가 목표로 삼은 '구속함 제어장치'는
대미궁 가장 깊은 곳에 있다고 들었습니다.
그곳에 다다를 때까지 얼마나 큰 위험이 도사리고 있을지……."
12,"TEXT_BAHAMUTGUIDEENTRANCEFOREST_SYSTEM_000_050","'대미궁 바하무트: 침공편'은
여러 개의 던전으로 이루어져 있으며
그중에는 '데존'을 쓸 수 없는 곳도 있습니다."
13,"TEXT_BAHAMUTGUIDEENTRANCEFOREST_SYSTEM_000_051","'대미궁 바하무트: 침공편'의 공략 진행도는
특정 시점에 각 플레이어의 기록이 생성되며
재입장 시 기록된 위치부터 이어서 공략할 수 있습니다."
